Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
,,,,Rafael Devers,3B,2.94,13,,,,,,,,
,,,,Eduardo Nunez,2B,2.94,9,,,,,,,,
,,,,Jesus Aguilar,1B,2.94,2,,,,,,,,
,,,,Jose Peraza,SS,2.94,0,,,,,,,,
,,,,Scooter Gennett,2B,2.94,2,,,,,,,,
,,,,Nicholas Castellanos,OF,2.94,0,,,,,,,,
,,,,Miguel Cabrera,1B,2.94,2,,,,,,,,
,,,,Tommy Pham,OF,2.94,2,,,,,,,,
,,,,Matt Carpenter,1B,2.94,2,,,,,,,,
,,,,Yoan Moncada,2B,2.94,0,,,,,,,,
,,,,Nicky Delmonico,OF,2.94,2,,,,,,,,
,,,,Leury Garcia,OF,2.94,0,,,,,,,,
,,,,Daniel Descalso,1B,2.94,0,,,,,,,,
,,,,Trey Mancini,1B,2.94,5,,,,,,,,
,,,,Taijuan Walker,P,2.94,14.5,,,,,,,,
,,,,Gregory Polanco,OF,2.94,19,,,,,,,,
,,,,Daniel Robertson,SS,2.94,19,,,,,,,,
,,,,Ketel Marte,SS,2.94,3,,,,,,,,
,,,,Jeimer Candelario,3B,1.47,0,,,,,,,,
,,,,Leonys Martin,OF,1.47,15,,,,,,,,
,,,,John Hicks,C,1.47,0,,,,,,,,
,,,,Hernan Perez,OF,1.47,0,,,,,,,,
,,,,Tyler Naquin,OF,1.47,3,,,,,,,,
,,,,Marcell Ozuna,OF,1.47,3,,,,,,,,
,,,,Derek Fisher,OF,1.47,3,,,,,,,,
,,,,Christian Villanueva,3B,1.47,0,,,,,,,,
,,,,Jonathan Schoop,2B,1.47,5,,,,,,,,
,,,,Paul Goldschmidt,1B,1.47,0,,,,,,,,
,,,,Jonathan Villar,2B,1.47,5,,,,,,,,
,,,,Matt Duffy,3B,1.47,10,,,,,,,,
,,,,Kevin Kiermaier,OF,1.47,12,,,,,,,,
,,,,Austin Hedges,C,1.47,2,,,,,,,,
,,,,Adeiny Hechavarria,SS,1.47,5,,,,,,,,
,,,,Hanley Ramirez,1B,1.47,14,,,,,,,,
,,,,Yolmer Sanchez,2B,1.47,0,,,,,,,,
,,,,A.J. Pollock,OF,1.47,24,,,,,,,,
,,,,Jesus Sucre,C,1.47,2,,,,,,,,
,,,,Adam Duvall,OF,1.47,0,,,,,,,,
,,,,Christian Vazquez,C,1.47,10,,,,,,,,
,,,,Niko Goodrum,OF,1.47,9,,,,,,,,
