Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
57,1063547995,BernardtheGSD,0,110.5,P Jake Arrieta P José Quintana 1B Edwin Encarnacion 2B José Ramírez OF Gregory Polanco SS Manny Machado OF Adam Jones C Alex Avila OF Carlos Gómez 3B Danny Valencia,,Tyler Mahle,P,5.80%,-1.5
58,1063416266,kkuuyyaa,0,109.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Rhys Hoskins 3B José Ramírez SS Manny Machado OF Brett Gardner 2B Neil Walker 1B Matt Carpenter C Andrew Knapp,,Yadier Molina,C,5.40%,5
59,1063486114,mazwa (9/10),0,109.55,P Charlie Morton P Luke Weaver OF Aaron Judge SS Carlos Correa C Willson Contreras 3B Alex Bregman OF Tommy Pham OF Trey Mancini 1B Justin Bour 2B Miguel Rojas,,Nick Williams,OF,5.40%,5
60,1063523551,fantasyfever (5/9),0,109.2,P Charlie Morton P José Quintana OF Rhys Hoskins 1B Carlos Santana SS Eduardo Núñez 3B Maikel Franco OF Odúbel Herrera OF Nick Williams 2B Niko Goodrum C Victor Caratini,,Jonathan Schoop,2B,5.20%,5
61,1063112453,wcdenin24 (5/8),0,108.55,P Charlie Morton P Jameson Taillon SS Francisco Lindor 1B Edwin Encarnacion C Welington Castillo 2B Neil Walker 3B Matt Duffy OF Kevin Kiermaier OF Carlos Gómez OF Hernán Pérez,,Andrew Knapp,C,5.20%,3
61,1063156175,scout326 (14/15),0,108.55,P José Quintana P Eduardo Rodríguez OF Mookie Betts 3B Kris Bryant OF J.D. Martinez 1B Hanley Ramirez SS Eduardo Núñez 2B Ben Zobrist OF Albert Almora Jr. C Victor Caratini,,Bradley Zimmer,OF,5.00%,9
61,1063253087,dandydon (1/5),0,108.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr. OF Dexter Fowler,,José Martínez,OF,4.80%,0
61,1063577711,weavster22,0,108.55,P Charlie Morton P Luke Weaver OF Aaron Judge SS Carlos Correa 3B Alex Bregman OF Josh Reddick OF Brett Gardner 2B Jonathan Schoop 1B Neil Walker C Bryan Holaday,,Marwin González,1B,4.60%,5
65,1063108455,youdacao (1/15),0,108.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr.,,Austin Romine,C,4.40%,17
65,1063354470,BrothaChristian,0,108.35,P Jameson Taillon P Taijuan Walker 2B José Altuve OF George Springer SS Manny Machado 3B Alex Bregman OF Brett Gardner 1B Tyler Austin OF Derek Fisher C Austin Romine,,Jace Peterson,2B,4.20%,6
67,1063188454,dan5r,0,107.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins 1B Carlos Santana 3B Alex Bregman SS Paul DeJong 2B César Hernández OF Odúbel Herrera OF Nick Williams C Max Stassi,,Miguel Andújar,3B,4.20%,14
67,1063406109,KKHS_Maz,0,107.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 1B Tyler Austin 2B Neil Walker OF Nick Williams 3B Miguel Andújar C Andrew Knapp,,Ronald Torreyes,SS,4.20%,7
69,1063074899,bigdshaggyj,0,106.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins OF J.D. Martinez SS Manny Machado C Welington Castillo 1B Tyler Austin 2B Neil Walker OF Jesse Winker 3B Miguel Andújar,,Eduardo Núñez,SS,4.00%,9
69,1063277542,REDCOAT85 (3/15),0,106.55,P José Quintana P Eduardo Rodríguez OF Aaron Judge 3B Kris Bryant C Willson Contreras OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Justin Bour OF Albert Almora Jr.,,Mike Fiers,P,3.80%,26.5
71,1063477808,ehafner (2/15),0,106.05,P José Quintana P Reynaldo López OF Giancarlo Stanton 3B Kris Bryant C Willson Contreras OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker OF Albert Almora Jr.,,Billy Hamilton,OF,3.80%,0
72,1063523554,fantasyfever (8/9),0,105.7,P Charlie Morton P Jake Arrieta OF Giancarlo Stanton SS Carlos Correa 3B Matt Duffy OF Kevin Kiermaier C Manny Piña OF Carlos Gómez 1B C.J. Cron 2B Daniel Robertson,,Niko Goodrum,2B,3.80%,9
73,1063156176,scout326 (15/15),0,105.5,P Jake Arrieta P José Quintana 3B Kris Bryant OF Starling Marte OF Gregory Polanco 1B Josh Bell SS Addison Russell 2B Ben Zobrist OF Corey Dickerson C Victor Caratini,,Hanley Ramirez,1B,3.80%,14
74,1063466477,Louiegatbs,0,105.4,P Reynaldo López P Luke Weaver OF Rhys Hoskins OF Aaron Judge 1B Edwin Encarnacion SS Xander Bogaerts 3B Manny Machado 2B Yoán Moncada C Yan Gomes OF Carlos Gómez,,Manny Piña,C,3.80%,0
75,1063108469,youdacao (15/15),0,105.35,P José Quintana P Luke Weaver OF Kyle Schwarber 1B Carlos Santana C Willson Contreras 3B Alex Bregman SS Addison Russell OF Odúbel Herrera 2B Ben Zobrist OF Albert Almora Jr.,,Yonder Alonso,1B,3.40%,5
75,1063184838,bryito12 (1/5),0,105.35,P José Quintana P Luke Weaver 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber C Willson Contreras 2B Ben Zobrist OF Corey Dickerson OF Albert Almora Jr.,,Andrew Benintendi,OF,3.40%,7
77,1063467303,Awesemo (8/15),0,105.2,P Charlie Morton P José Quintana OF Rhys Hoskins 1B Miguel Cabrera 2B César Hernández 3B Jeimer Candelario OF Odúbel Herrera OF Leonys Martin SS J.P. Crawford C Andrew Knapp,,Adam Jones,OF,3.40%,11
