Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
209,1063486113,mazwa (8/10),0,83.35,P José Quintana P Luke Weaver OF Aaron Judge SS Francisco Lindor 2B José Ramírez OF Nicholas Castellanos 1B Miguel Cabrera 3B Jeimer Candelario OF Leonys Martin C John Hicks,,,,,
210,1063232736,davewiff (5/6),0,83.1,P José Quintana P Trevor Richards OF Mookie Betts 3B Kris Bryant OF J.D. Martinez OF Kyle Schwarber C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Justin Bour,,,,,
211,1063508509,Wreck-Havoc-22 (2/5),0,82.95,P Mike Clevinger P Eduardo Rodríguez OF Rhys Hoskins SS Xander Bogaerts 2B César Hernández 1B Marwin González 3B Maikel Franco OF Odúbel Herrera OF Niko Goodrum C Andrew Knapp,,,,,
212,1063204515,CityBoy410,0,82.85,P Jake Arrieta P Luke Weaver OF J.D. Martinez OF Andrew Benintendi 2B José Ramírez 3B Rafael Devers SS Eduardo Núñez OF Michael Brantley C Welington Castillo 1B Neil Walker,,,,,
212,1063232726,davewiff (2/6),0,82.85,P Jake Arrieta P Luke Weaver OF Rhys Hoskins 3B Kris Bryant OF Kyle Schwarber 1B Carlos Santana SS Addison Russell OF Odúbel Herrera 2B Ben Zobrist C Victor Caratini,,,,,
214,1063402128,danlog6,0,82.75,P Mike Clevinger P Luke Weaver OF Aaron Judge SS Francisco Lindor 1B Carlos Santana 2B César Hernández 3B Maikel Franco C Yadier Molina OF Odúbel Herrera OF Jesse Winker,,,,,
215,1063207021,Bambam522812 (1/3),0,82.6,P Eduardo Rodríguez P Jordan Montgomery OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant C Willson Contreras OF Brett Gardner 2B Ben Zobrist 1B Neil Walker SS Ronald Torreyes,,,,,
215,1063213956,Bambam522812 (2/3),0,82.6,P Eduardo Rodríguez P Jordan Montgomery OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant C Willson Contreras OF Brett Gardner 2B Ben Zobrist 1B Neil Walker SS Ronald Torreyes,,,,,
215,1063213961,Bambam522812 (3/3),0,82.6,P Eduardo Rodríguez P Jordan Montgomery OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant C Willson Contreras OF Brett Gardner 2B Ben Zobrist 1B Neil Walker SS Ronald Torreyes,,,,,
215,1063492650,Legit-Storm (1/4),0,82.6,P Charlie Morton P Mike Clevinger 2B Jason Kipnis 3B Eugenio Suárez 1B Marwin González OF Michael Brantley C Yan Gomes OF Bradley Zimmer OF Tyler Naquin SS José Peraza,,,,,
219,1063108468,youdacao (14/15),0,82.55,P Charlie Morton P Luke Weaver OF Mookie Betts 3B Kris Bryant 1B Ryan Braun SS Eduardo Núñez OF Domingo Santana 2B Jonathan Villar C Manny Piña OF Hernán Pérez,,,,,
219,1063477807,ehafner (1/15),0,82.55,P Jake Arrieta P Reynaldo López 3B Kris Bryant 1B José Abreu C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Avisaíl García OF Ben Zobrist OF Albert Almora Jr.,,,,,
221,1063576726,bigchuck94,0,82.5,P Jake Arrieta P Mike Fiers OF Rhys Hoskins 3B Kris Bryant SS Francisco Lindor 1B Carlos Santana 2B Jason Kipnis OF Odúbel Herrera OF Ben Zobrist C Caleb Joseph,,,,,
222,1063109987,shawnzhan (12/15),0,82.4,P Reynaldo López P Luke Weaver OF Aaron Judge SS Francisco Lindor 1B Edwin Encarnacion 3B José Ramírez OF Ryan Braun 2B Yoán Moncada OF Michael Brantley C Yan Gomes,,,,,
222,1063223527,pgavett,0,82.39999,P Jameson Taillon P Jordan Montgomery OF Rhys Hoskins SS Francisco Lindor 1B Carlos Santana 2B César Hernández 3B Maikel Franco OF Tommy Pham C Welington Castillo OF Odúbel Herrera,,,,,
224,1063562642,posnickj1,0,82.25,P Charlie Morton P Reynaldo López 3B Matt Davidson 1B José Abreu SS Manny Machado OF Adam Jones OF Avisaíl García C Welington Castillo 2B Yolmer Sánchez OF Trey Mancini,,,,,
225,1063477819,ehafner (13/15),0,82.05,P José Quintana P Reynaldo López OF Giancarlo Stanton OF Aaron Judge 1B José Abreu 2B Yoán Moncada SS Tim Anderson OF Avisaíl García C Welington Castillo 3B Jace Peterson,,,,,
226,1062996434,ChipotleAddict (1/15),0,82,P José Quintana P Mike Fiers 3B Kris Bryant 1B Paul Goldschmidt SS Francisco Lindor OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Bradley Zimmer,,,,,
227,1063435691,dahladino (1/10),0,81.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 3B José Ramírez 2B Jason Kipnis OF Michael Brantley C Yan Gomes 1B Neil Walker,,,,,
228,1063388279,bric75 (5/7),0,81.85,P Jake Arrieta P Luke Weaver OF Rhys Hoskins SS Francisco Lindor 3B José Ramírez 1B Carlos Santana 2B César Hernández OF Michael Brantley OF Odúbel Herrera C Andrew Knapp,,,,,
229,1063070524,felder15 (3/3),0,81.75,P Mike Clevinger P Luke Weaver 2B José Altuve SS Carlos Correa OF Josh Reddick OF Brett Gardner 1B Marwin González 3B Matt Duffy OF Dexter Fowler C Manny Piña,,,,,
230,1063156171,scout326 (10/15),0,81.55,P José Quintana P Eduardo Rodríguez OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez OF Brett Gardner 2B Jason Kipnis OF Michael Brantley 1B Neil Walker C Austin Romine,,,,,
230,1063175933,moklovin (4/5),0,81.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton 2B Yoán Moncada SS Tim Anderson OF Avisaíl García 3B Mike Moustakas C Welington Castillo 1B Neil Walker OF Nicky Delmonico,,,,,
232,1062996443,ChipotleAddict (10/15),0,81.5,P Jake Arrieta P José Quintana OF Kyle Schwarber OF Starling Marte C Willson Contreras SS Addison Russell 2B Whit Merrifield 3B Mike Moustakas 1B Lucas Duda OF Bradley Zimmer,,,,,
233,1063524565,GrindersCal (2/3),0,81.4,P Jordan Montgomery P Luke Weaver OF Mookie Betts 3B Kris Bryant OF J.D. Martinez OF Andrew Benintendi SS Xander Bogaerts 1B Hanley Ramirez 2B Josh Harrison C Victor Caratini,,,,,
234,1063467299,Awesemo (4/15),0,81.35,P José Quintana P Luke Weaver OF Mookie Betts OF J.D. Martinez 3B Matt Davidson 1B José Abreu 2B Yoán Moncada SS Eduardo Núñez C Welington Castillo OF Nicky Delmonico,,,,,
235,1063529159,mray6288 (3/3),0,81.25,P Charlie Morton P Jordan Montgomery 3B Kris Bryant 1B Carlos Santana C Willson Contreras 2B César Hernández SS Addison Russell OF Odúbel Herrera OF Albert Almora Jr. OF Nick Williams,,,,,
236,1063477817,ehafner (11/15),0,81.05,P José Quintana P Reynaldo López OF Mookie Betts OF J.D. Martinez 1B José Abreu 2B Yoán Moncada SS Eduardo Núñez OF Avisaíl García C Welington Castillo 3B Yolmer Sánchez,,,,,
237,1063438237,Zeechamp (1/2),0,80.9,P Eduardo Rodríguez P Luke Weaver 3B Kris Bryant SS Francisco Lindor OF Kyle Schwarber 2B José Ramírez 1B Ryan Braun C Willson Contreras OF Ben Zobrist OF Albert Almora Jr.,,,,,
238,1063302411,pocktchnge,0,80.7,P Jameson Taillon P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 3B Matt Davidson 1B José Abreu OF Avisaíl García OF Leury García C Andrew Knapp,,,,,
239,1062996439,ChipotleAddict (6/15),0,80.5,P Jake Arrieta P José Quintana OF Kyle Schwarber 1B José Abreu 2B Yoán Moncada SS Tim Anderson 3B Mike Moustakas C Welington Castillo OF Ben Zobrist OF Albert Almora Jr.,,,,,
239,1063381696,zsavior (2/4),0,80.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton OF Aaron Judge 1B José Abreu OF Avisaíl García C Welington Castillo 2B Neil Walker SS Ronald Torreyes 3B Jace Peterson,,,,,
241,1063109977,shawnzhan (2/15),0,80.4,P Reynaldo López P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant OF George Springer OF Kyle Schwarber C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Eric Hosmer,,,,,
241,1063564503,frankdrebin,0,80.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso OF Brett Gardner C Yan Gomes 2B Neil Walker,,,,,
243,1063486112,mazwa (7/10),0,80.25,P Charlie Morton P Jordan Montgomery 3B Kris Bryant OF Lorenzo Cain C Willson Contreras SS Addison Russell 1B Jesús Aguilar OF Domingo Santana 2B Ben Zobrist OF Albert Almora Jr.,,,,,
244,1063463117,Bozie11 (3/3),0,80.05,P Jake Arrieta P Eduardo Rodríguez OF Giancarlo Stanton OF Aaron Judge 3B Manny Machado OF Brett Gardner SS Tim Beckham 2B Neil Walker 1B Matt Carpenter C Victor Caratini,,,,,
245,1063551320,isupol (4/4),0,79.85,P Chase Anderson P Jordan Montgomery OF Rhys Hoskins 2B José Altuve SS Carlos Correa OF Josh Reddick 1B Marwin González 3B Maikel Franco OF Odúbel Herrera C Max Stassi,,,,,
246,1063480367,ianj300 (2/2),0,79.55,P Charlie Morton P Luke Weaver 2B José Altuve 3B Alex Bregman OF Josh Reddick SS Paul DeJong OF Marcell Ozuna C Yadier Molina OF José Martínez 1B Matt Carpenter,,,,,
247,1063416820,justajoe2u (1/3),0,79.45,P Mike Clevinger P Reynaldo López OF Giancarlo Stanton OF Aaron Judge 3B José Ramírez 2B Jason Kipnis SS Orlando Arcia C Manny Piña OF Carlos Gómez 1B C.J. Cron,,,,,
248,1063107811,wcdenin24 (3/8),0,79.35,P Jameson Taillon P Taijuan Walker SS Francisco Lindor 3B José Ramírez OF Lorenzo Cain OF Ryan Braun 2B Jason Kipnis OF Michael Brantley C Welington Castillo 1B Neil Walker,,,,,
248,1063109976,shawnzhan (1/15),0,79.35,P Mike Fiers P Luke Weaver OF Giancarlo Stanton SS Francisco Lindor OF Kyle Schwarber 3B José Ramírez 1B Yonder Alonso C Willson Contreras 2B Jason Kipnis OF Michael Brantley,,,,,
248,1063554483,squirrelpatroldk (2/3),0,79.35,P José Quintana P Luke Weaver 2B José Altuve OF Aaron Judge SS Carlos Correa 3B Alex Bregman OF Brett Gardner C Welington Castillo 1B Neil Walker OF Jesse Winker,,,,,
251,1063388280,bric75 (6/7),0,79.05,P José Quintana P Jordan Montgomery OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor C Willson Contreras 3B Alex Bregman OF Brett Gardner 1B Neil Walker 2B Jace Peterson,,,,,
252,1063024486,papagates (15/15),0,79,P José Quintana P Mike Fiers 3B Kris Bryant OF Kyle Schwarber OF Nicholas Castellanos 1B Miguel Cabrera C Willson Contreras SS Addison Russell OF Billy Hamilton 2B Niko Goodrum,,,,,
253,1063175604,jrh002,0,78.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso 2B Jason Kipnis OF Michael Brantley C Austin Romine,,,,,
253,1063228799,ThatStunna (1/2),0,78.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa 3B Alex Bregman OF Brett Gardner C Evan Gattis 1B Tyler Austin 2B Neil Walker,,,,,
255,1063144912,bcave369,0,78.85,P Jake Arrieta P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant 1B Joey Votto SS Addison Russell 2B Ben Zobrist OF Albert Almora Jr. C Victor Caratini,,,,,
256,1063565450,Mohmo,0,78.75,P Mike Clevinger P Luke Weaver OF Giancarlo Stanton OF Lorenzo Cain 1B Ryan Braun C Willson Contreras 3B Alex Bregman 2B Neil Walker OF Albert Almora Jr. SS Orlando Arcia,,,,,
257,1063109986,shawnzhan (11/15),0,78.6,P Eduardo Rodríguez P Reynaldo López 2B José Altuve OF George Springer SS Manny Machado 3B Alex Bregman OF Josh Reddick OF Avisaíl García C Evan Gattis 1B Neil Walker,,,,,
258,1063232744,davewiff (6/6),0,78.55,P Jake Arrieta P Reynaldo López OF Rhys Hoskins 1B Carlos Santana SS Manny Machado 2B Yoán Moncada 3B Maikel Franco OF Avisaíl García OF Odúbel Herrera C Andrew Knapp,,,,,
258,1063328203,kfalik (1/3),0,78.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Xander Bogaerts 2B Neil Walker OF Corey Dickerson 1B Matt Carpenter OF Dexter Fowler C Tucker Barnhart,,,,,
258,1063524930,Bales,0,78.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Marcell Ozuna OF Marwin González 1B Matt Carpenter OF Dexter Fowler C Max Stassi,,,,,
261,1063024476,papagates (5/15),0,78.5,P Jake Arrieta P José Quintana OF Kyle Schwarber 1B Yonder Alonso C Willson Contreras 2B Jason Kipnis SS Addison Russell OF Michael Brantley 3B Mike Moustakas OF Bradley Zimmer,,,,,
261,1063277543,REDCOAT85 (4/15),0,78.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton OF Rhys Hoskins 1B Carlos Santana 3B Maikel Franco 2B Neil Walker OF Nick Williams SS Ronald Torreyes C Andrew Knapp,,,,,
263,1063532293,rockchalkjr,0,78.4,P Jordan Montgomery P Luke Weaver OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 1B Hanley Ramirez 3B Matt Davidson OF Brett Gardner 2B César Hernández C Welington Castillo,,,,,
264,1063297882,hfdwhalers,0,78.2,P Charlie Morton P Tyler Mahle 3B Kris Bryant SS Francisco Lindor C Willson Contreras 2B Jason Kipnis OF Derek Dietrich OF Albert Almora Jr. OF Carlos Gómez 1B C.J. Cron,,,,,
265,1062996444,ChipotleAddict (11/15),0,78.05,P José Quintana P Jordan Montgomery OF Mookie Betts 1B Edwin Encarnacion 3B José Ramírez C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Michael Brantley OF Bradley Zimmer,,,,,
266,1063169569,moklovin (1/5),0,77.85,P Jake Arrieta P Luke Weaver OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez C Willson Contreras 2B Jason Kipnis OF Michael Brantley 1B Neil Walker OF Bradley Zimmer,,,,,
267,1063156164,scout326 (3/15),0,77.75,P Charlie Morton P Eduardo Rodríguez 3B Kris Bryant C Willson Contreras SS Addison Russell OF Marcell Ozuna OF Tommy Pham 2B Ben Zobrist 1B Matt Carpenter OF Dexter Fowler,,,,,
268,1063535238,trashaway,0,77.6,P Eduardo Rodríguez P Jordan Montgomery OF Rhys Hoskins OF Aaron Judge 1B José Abreu SS Manny Machado C Willson Contreras OF Marcell Ozuna 3B Maikel Franco 2B Neil Walker,,,,,
269,1063477810,ehafner (4/15),0,77.45,P Mike Clevinger P Reynaldo López 3B Kris Bryant OF Lorenzo Cain 1B Ryan Braun C Willson Contreras SS Addison Russell OF Domingo Santana 2B Ben Zobrist OF Hernán Pérez,,,,,
270,1063302451,fortheoffice (3/10),0,77.35,P Tyler Mahle P Luke Weaver OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi SS Xander Bogaerts 1B Hanley Ramirez 3B Manny Machado 2B Jonathan Schoop C Caleb Joseph,,,,,
271,1063297405,tmarzy (1/2),0,77.2,P Charlie Morton P José Quintana 3B Kris Bryant 1B Joey Votto C Willson Contreras 2B Scooter Gennett OF Adam Duvall OF Billy Hamilton OF Jason Heyward SS José Peraza,,,,,
272,1063566950,Rkennedy23,0,77.05,P Jake Arrieta P Eduardo Rodríguez 1B Paul Goldschmidt OF A.J. Pollock OF David Peralta OF Ryan Braun 3B Alex Bregman SS Paul DeJong 2B Jonathan Schoop C Victor Caratini,,,,,
273,1063024473,papagates (2/15),0,77,P José Quintana P Mike Fiers 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Billy Hamilton OF Bradley Zimmer,,,,,
274,1063304567,fortheoffice (7/10),0,76.9,P Eduardo Rodríguez P Luke Weaver SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber 3B José Ramírez C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Ben Zobrist,,,,,
275,1063277544,REDCOAT85 (5/15),0,76.75,P Charlie Morton P Eduardo Rodríguez OF Giancarlo Stanton OF Rhys Hoskins 3B Maikel Franco 2B Neil Walker 1B Justin Bour OF Nick Williams SS J.P. Crawford C Andrew Knapp,,,,,
275,1063435698,dahladino (8/10),0,76.75,P Mike Clevinger P Luke Weaver SS Francisco Lindor 2B José Ramírez 3B Matt Davidson 1B José Abreu OF Avisaíl García OF Michael Brantley C Yan Gomes OF Nicky Delmonico,,,,,
277,1063156168,scout326 (7/15),0,76.5,P Jake Arrieta P José Quintana 2B José Altuve 1B Carlos Santana 3B Alex Bregman OF Josh Reddick C Evan Gattis OF Odúbel Herrera OF Nick Williams SS J.P. Crawford,,,,,
278,1063330183,TBAP (2/2),0,76.25,P Charlie Morton P Jordan Montgomery OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 2B Whit Merrifield 3B Mike Moustakas OF Jon Jay 1B Lucas Duda C Francisco Cervelli,,,,,
278,1063536948,REDCOAT85 (15/15),0,76.25,P Charlie Morton P Jordan Montgomery OF Giancarlo Stanton OF Aaron Judge 1B Miguel Cabrera OF Brett Gardner 2B Josh Harrison C Francisco Cervelli SS Ronald Torreyes 3B Jace Peterson,,,,,
280,1063024482,papagates (11/15),0,76.05,P José Quintana P Jordan Montgomery 3B Kris Bryant SS Francisco Lindor OF Kyle Schwarber 1B Yonder Alonso C Yan Gomes 2B Ben Zobrist OF Billy Hamilton OF Bradley Zimmer,,,,,
280,1063371128,nawmsayin (3/3),0,76.05,P José Quintana P Reynaldo López SS Carlos Correa OF George Springer 1B Paul Goldschmidt 3B Alex Bregman OF Josh Reddick 2B Ketel Marte C Alex Avila OF Derek Fisher,,,,,
282,1063438196,tinderella (5/6),0,75.95,P Mike Clevinger P Eduardo Rodríguez OF Giancarlo Stanton 3B Kris Bryant OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker OF Albert Almora Jr. C Victor Caratini,,,,,
283,1063430760,justajoe2u (3/3),0,75.75,P Charlie Morton P Eduardo Rodríguez OF Rhys Hoskins SS Carlos Correa 3B Maikel Franco OF Avisaíl García 1B Tyler Austin 2B Yolmer Sánchez OF Leury García C Andrew Knapp,,,,,
284,1063523553,fantasyfever (7/9),0,75.7,P Charlie Morton P Jake Arrieta SS Francisco Lindor OF Lorenzo Cain OF Ryan Braun 1B Jesús Aguilar OF Domingo Santana 2B Jonathan Villar 3B Danny Valencia C Jesús Sucre,,,,,
285,1063334631,MattyG530,0,75.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Marcell Ozuna OF Tommy Pham 1B Matt Carpenter OF Dexter Fowler C Max Stassi,,,,,
286,1063512353,tammytaylor58,0,75.45,P Mike Clevinger P Reynaldo López SS Francisco Lindor 1B Edwin Encarnacion 3B José Ramírez 2B Jason Kipnis OF Avisaíl García OF Michael Brantley OF Nick Williams C Max Stassi,,,,,
287,1063123430,cheeseisgood (3/3),0,75.4,P Reynaldo López P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 1B José Abreu 3B Alex Bregman OF Josh Reddick OF Avisaíl García C Welington Castillo,,,,,
287,1063350436,alanbr (3/3),0,75.4,P Mike Clevinger P Mike Fiers OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa 3B Alex Bregman 2B Jason Kipnis OF Tyler Naquin 1B C.J. Cron C Jesús Sucre,,,,,
289,1063457899,Duncaroo,0,75.35,P Tyler Mahle P Luke Weaver OF Giancarlo Stanton OF Mookie Betts SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso 2B Jason Kipnis C Yan Gomes OF Odúbel Herrera,,,,,
290,1063239515,metin317,0,75.25,P Charlie Morton P Reynaldo López SS Francisco Lindor 1B Carlos Santana 2B Jason Kipnis 3B Maikel Franco OF Michael Brantley C Welington Castillo OF Odúbel Herrera OF Nick Williams,,,,,
291,1063477815,ehafner (9/15),0,75.05,P José Quintana P Reynaldo López 2B José Altuve SS Carlos Correa 1B José Abreu 3B Alex Bregman OF Josh Reddick OF Avisaíl García C Welington Castillo OF Leury García,,,,,
292,1063462865,jsltfc (2/2),0,74.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins 3B Kris Bryant SS Addison Russell 2B Eduardo Núñez C Welington Castillo 1B Jesús Aguilar OF Domingo Santana OF Hernán Pérez,,,,,
293,1063509617,gordylamb,0,74.45,P Mike Clevinger P Reynaldo López SS Francisco Lindor 3B José Ramírez 1B Carlos Santana 2B César Hernández OF Michael Brantley C Welington Castillo OF Odúbel Herrera OF Nick Williams,,,,,
293,1063543617,McJester (4/4),0,74.45,P Luke Weaver P Trevor Richards OF Giancarlo Stanton 2B José Altuve OF Aaron Judge SS Carlos Correa OF George Springer C Willson Contreras 1B Marwin González 3B Miguel Andújar,,,,,
295,1063342589,alanbr (1/3),0,74.4,P Mike Clevinger P Mike Fiers OF Giancarlo Stanton 2B José Altuve OF Aaron Judge SS Carlos Correa 1B Marwin González C Jesús Sucre 3B Jace Peterson OF Braxton Lee,,,,,
295,1063573544,mbaggia08,0,74.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton OF Mookie Betts OF J.D. Martinez SS Francisco Lindor 3B José Ramírez 1B Hanley Ramirez 2B Neil Walker C Victor Caratini,,,,,
295,1063577527,SamENole (1/3),0,74.4,P Jordan Montgomery P Luke Weaver 2B José Altuve 3B Kris Bryant SS Carlos Correa OF George Springer C Willson Contreras OF Josh Reddick 1B Jesús Aguilar OF Albert Almora Jr.,,,,,
298,1063184859,bryito12 (2/5),0,74.35,P José Quintana P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 3B Alex Bregman OF Josh Reddick C Welington Castillo 1B Matt Carpenter OF Dexter Fowler,,,,,
298,1063543210,isupol (2/4),0,74.35,P Chase Anderson P Eduardo Rodríguez OF Rhys Hoskins SS Carlos Correa 1B Carlos Santana 2B César Hernández OF Marwin González 3B Maikel Franco OF Nick Williams C Max Stassi,,,,,
300,1063435697,dahladino (7/10),0,73.9,P Eduardo Rodríguez P Luke Weaver 3B Kris Bryant SS Francisco Lindor OF Kyle Schwarber 2B José Ramírez 1B Yonder Alonso C Willson Contreras OF Michael Brantley OF Albert Almora Jr.,,,,,
300,1063467564,thepickler (1/2),0,73.9,P Eduardo Rodríguez P Luke Weaver OF Giancarlo Stanton 2B José Altuve 3B Kris Bryant SS Carlos Correa OF Josh Reddick OF Michael Brantley 1B Neil Walker C Victor Caratini,,,,,
302,1063486626,Moogie,0,73.75,P Charlie Morton P Eduardo Rodríguez OF Aaron Judge 3B José Ramírez 1B Carlos Santana 2B Jason Kipnis OF Corey Dickerson OF Dexter Fowler SS J.P. Crawford C Andrew Knapp,,,,,
303,1063109988,shawnzhan (13/15),0,73.55,P Charlie Morton P Luke Weaver 3B Kris Bryant SS Manny Machado OF Lorenzo Cain OF Ryan Braun 2B Jonathan Schoop 1B Jesús Aguilar OF Domingo Santana C Manny Piña,,,,,
303,1063304217,fortheoffice (6/10),0,73.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Marcell Ozuna OF Tommy Pham C Yan Gomes 1B Matt Carpenter OF Dexter Fowler,,,,,
303,1063481979,fallfromgrace (3/3),0,73.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 1B Miguel Cabrera 3B Jeimer Candelario OF Dexter Fowler SS José Iglesias 2B Niko Goodrum C John Hicks,,,,,
306,1062996436,ChipotleAddict (3/15),0,73.5,P Jake Arrieta P José Quintana SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber 3B José Ramírez 2B Ben Zobrist OF Billy Hamilton OF Bradley Zimmer C Victor Caratini,,,,,
307,1063395266,dscotti,0,73.4,P Jordan Montgomery P Luke Weaver OF Aaron Judge 3B Kris Bryant SS Carlos Correa OF George Springer OF Lorenzo Cain C Willson Contreras 1B Jesús Aguilar 2B Neil Walker,,,,,
308,1063109983,shawnzhan (8/15),0,73.25,P Charlie Morton P Jordan Montgomery OF Giancarlo Stanton SS Francisco Lindor C Willson Contreras 2B Whit Merrifield 3B Mike Moustakas OF Jon Jay 1B Lucas Duda OF Alex Gordon,,,,,
309,1063438193,tinderella (2/6),0,73.05,P Jake Arrieta P Eduardo Rodríguez 3B Kris Bryant 1B José Abreu C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Avisaíl García OF Ben Zobrist OF Albert Almora Jr.,,,,,
310,1063435696,dahladino (6/10),0,72.9,P Eduardo Rodríguez P Luke Weaver 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Ben Zobrist,,,,,
311,1063256256,AnthonyTerzakos,0,72.85,P Jake Arrieta P Luke Weaver OF Aaron Judge SS Xander Bogaerts 1B Carlos Santana OF Lorenzo Cain 3B Eugenio Suárez 2B César Hernández OF Marcell Ozuna C Manny Piña,,,,,
312,1063451695,jsltfc (1/2),0,72.55,P Charlie Morton P Luke Weaver 3B Kris Bryant 1B José Abreu SS Addison Russell OF Marcell Ozuna 2B Eduardo Núñez OF Tommy Pham OF Avisaíl García C Welington Castillo,,,,,
312,1063466374,andyv718,0,72.55,P Charlie Morton P Luke Weaver 2B José Altuve C Willson Contreras 3B Alex Bregman SS Paul DeJong OF Marcell Ozuna OF Tommy Pham 1B Matt Carpenter OF Dexter Fowler,,,,,
314,1063024481,papagates (10/15),0,72.5,P Jake Arrieta P José Quintana 1B Paul Goldschmidt OF Kyle Schwarber C Willson Contreras 3B Eugenio Suárez 2B Ben Zobrist OF Adam Duvall OF Billy Hamilton SS José Peraza,,,,,
314,1063156172,scout326 (11/15),0,72.5,P Jake Arrieta P José Quintana 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion 2B Jason Kipnis OF Michael Brantley OF Ben Zobrist OF Jason Heyward C Victor Caratini,,,,,
316,1063548525,baise085 (1/2),0,72.4,P Jordan Montgomery P Luke Weaver 2B José Altuve OF Mookie Betts SS Carlos Correa OF George Springer 1B Edwin Encarnacion OF Josh Reddick 3B Maikel Franco C Victor Caratini,,,,,
317,1063388281,bric75 (7/7),0,72.35,P José Quintana P Luke Weaver OF Aaron Judge 3B Kris Bryant SS Carlos Correa 1B José Abreu 2B Yoán Moncada OF Avisaíl García C Welington Castillo OF Nicky Delmonico,,,,,
318,1063579844,ThorntonMelon,0,72.25,P Charlie Morton P Jordan Montgomery 3B Kris Bryant SS Carlos Correa OF Andrew Benintendi OF Brett Gardner C Yadier Molina OF Corey Dickerson 1B Lucas Duda 2B Jace Peterson,,,,,
319,1063109982,shawnzhan (7/15),0,72.1,P Reynaldo López P Jordan Montgomery OF Rhys Hoskins 2B José Altuve SS Francisco Lindor 1B Carlos Santana C Willson Contreras 3B Maikel Franco OF Odúbel Herrera OF Nick Williams,,,,,
319,1063355685,yankeesfan2 (1/2),0,72.1,P Reynaldo López P Jordan Montgomery OF Giancarlo Stanton OF Rhys Hoskins 2B José Altuve SS Carlos Correa OF Brett Gardner 3B Maikel Franco 1B Neil Walker C Austin Romine,,,,,
319,1063519888,zwright86,0,72.1,P Reynaldo López P Jordan Montgomery OF Aaron Judge OF J.D. Martinez SS Xander Bogaerts 1B Hanley Ramirez 3B Matt Davidson OF Brett Gardner C Welington Castillo 2B Neil Walker,,,,,
