Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
49,1063384827,tastefultides (1/2),0,67.55,P Charlie Morton P Luke Weaver 3B Kris Bryant 1B Edwin Encarnacion OF Kyle Schwarber 2B Jason Kipnis SS Addison Russell OF Michael Brantley OF Jason Heyward C Victor Caratini,,Yoán Moncada,2B,7.14%,0
49,1063500324,wilson1 (2/2),0,67.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Brett Gardner C Evan Gattis 1B Neil Walker OF Dexter Fowler OF Jesse Winker,,Max Stassi,C,7.14%,18
51,1063039264,IamPGM (1/2),0,67.05,P Jake Arrieta P Eduardo Rodríguez OF Giancarlo Stanton SS Carlos Correa C Willson Contreras OF Brett Gardner 2B Jason Kipnis OF Michael Brantley 1B Neil Walker 3B Jace Peterson,,Odúbel Herrera,OF,7.14%,12
52,1063396842,bric75 (2/2),0,65.5,P Jake Arrieta P José Quintana OF Rhys Hoskins 3B Kris Bryant 1B José Abreu 2B Yoán Moncada OF Avisaíl García OF Nick Williams SS J.P. Crawford C Andrew Knapp,,Matt Carpenter,1B,7.14%,2
53,1063024536,papagates (1/2),0,64.5,P Jake Arrieta P José Quintana 3B Kris Bryant OF Kyle Schwarber 1B Joey Votto C Willson Contreras 2B Scooter Gennett OF Billy Hamilton OF Bradley Zimmer SS José Peraza,,Lorenzo Cain,OF,5.71%,6
54,1063492269,Tommyg1979,0,64.1,P Mike Fiers P Trevor Richards OF Giancarlo Stanton 2B José Altuve OF Aaron Judge SS Carlos Correa OF George Springer 3B Alex Bregman 1B Marwin González C Yan Gomes,,Austin Romine,C,5.71%,17
55,1063472323,floorsabove,0,63.75,P Charlie Morton P Eduardo Rodríguez 3B Kris Bryant OF J.D. Martinez SS Xander Bogaerts 1B José Martínez 2B Ben Zobrist OF Adam Duvall OF Jesse Winker C Victor Caratini,,Mookie Betts,OF,5.71%,16
56,1063296765,fortheoffice (1/2),0,62.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 2B José Ramírez 1B José Abreu C Willson Contreras OF Avisaíl García OF Albert Almora Jr.,,Hanley Ramirez,1B,5.71%,14
57,1063156486,scout326 (1/2),0,61.35,P José Quintana P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 1B José Abreu 3B Alex Bregman OF Avisaíl García C Welington Castillo OF Leury García,,Jesús Aguilar,1B,5.71%,2
58,1063396841,bric75 (1/2),0,59.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 2B José Altuve OF Aaron Judge SS Francisco Lindor 3B Alex Bregman C Evan Gattis OF Odúbel Herrera 1B Neil Walker,,Marwin González,1B,5.71%,5
59,1063426092,Shooter-McGavin,0,58.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 2B José Altuve OF Aaron Judge 3B Kris Bryant SS Carlos Correa OF Brett Gardner 1B Justin Bour C Victor Caratini,,Yan Gomes,C,5.71%,16
60,1063344754,wakeywakey (2/2),0,58.1,P Reynaldo López P Jordan Montgomery OF Giancarlo Stanton 3B Kris Bryant OF Kyle Schwarber 1B Ryan Braun C Willson Contreras SS Addison Russell OF Domingo Santana 2B Ben Zobrist,,Nick Williams,OF,5.71%,5
61,1063208897,tuggerntuz,0,56.05,P Tyler Mahle P Jordan Montgomery OF Mookie Betts 3B Kris Bryant OF J.D. Martinez SS Xander Bogaerts 1B Hanley Ramirez C Yadier Molina OF José Martínez 2B Ben Zobrist,,Tucker Barnhart,C,5.71%,0
62,1063233765,da1andonlybc,0,54.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 1B Joey Votto C Willson Contreras OF Brett Gardner 2B Jason Kipnis OF Michael Brantley,,Jace Peterson,3B,4.29%,6
63,1063514666,JL157 (2/2),0,51.25,P Charlie Morton P Jordan Montgomery SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso 2B Jason Kipnis OF Avisaíl García OF Michael Brantley C Welington Castillo OF Nicky Delmonico,,Trey Mancini,1B,4.29%,5
64,1063514591,JL157 (1/2),0,45.9,P Eduardo Rodríguez P Luke Weaver 2B José Altuve SS Carlos Correa OF Lorenzo Cain OF Ryan Braun 3B Alex Bregman C Evan Gattis 1B Jesús Aguilar OF Domingo Santana,,César Hernández,2B,4.29%,9
65,1063467903,ebeimfohr,0,45.1,P Reynaldo López P Jordan Montgomery OF Rhys Hoskins SS Carlos Correa 3B Matt Davidson 1B José Abreu OF Ryan Braun 2B Yoán Moncada OF Avisaíl García C Welington Castillo,,J.P. Crawford,SS,4.29%,0
66,1063002509,ChipotleAddict (2/2),0,42.55,P Jake Arrieta P Jordan Montgomery 3B Kris Bryant OF Kyle Schwarber OF Lorenzo Cain 1B Ryan Braun C Willson Contreras SS Addison Russell OF Domingo Santana 2B Jonathan Villar,,Tyler Mahle,P,4.29%,-1.5
67,1063344753,wakeywakey (1/2),0,40.6,P Eduardo Rodríguez P Reynaldo López 2B José Altuve SS Carlos Correa OF George Springer OF Ryan Braun 3B Alex Bregman 1B Jesús Aguilar OF Domingo Santana C Manny Piña,,Yadier Molina,C,4.29%,5
68,1063240449,Youngguns77,0,36.05,P Tyler Mahle P Jordan Montgomery OF Mookie Betts SS Carlos Correa OF George Springer 1B Hanley Ramirez 3B Matt Davidson 2B Yoán Moncada C Welington Castillo OF Hernán Pérez,,Matt Davidson,3B,4.29%,2
69,1063108192,youdacao (1/2),0,33.4,P Jordan Montgomery P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 1B José Abreu OF Ryan Braun 3B Alex Bregman C Evan Gattis OF Domingo Santana,,Miguel Andújar,3B,4.29%,14
70,1063486265,mazwa (1/2),0,24.85,P Mike Clevinger P Jordan Montgomery 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Marcell Ozuna OF Tommy Pham C Evan Gattis 1B Matt Carpenter OF Dexter Fowler,,Nicky Delmonico,OF,4.29%,2
,,,,,,,Andrew Knapp,C,4.29%,3
,,,,,,,Joey Votto,1B,2.86%,0
,,,,,,,Scooter Gennett,2B,2.86%,2
,,,,,,,Billy Hamilton,OF,2.86%,0
,,,,,,,José Martínez,OF,2.86%,0
,,,,,,,Hernán Pérez,OF,2.86%,0
,,,,,,,Manny Piña,C,2.86%,0
,,,,,,,Josh Bell,1B,2.86%,5
,,,,,,,Francisco Cervelli,C,2.86%,2
,,,,,,,Justin Bour,1B,2.86%,7
,,,,,,,Mike Moustakas,3B,2.86%,6
,,,,,,,Mike Wright Jr.,P,2.86%,-4.1
,,,,,,,Starling Marte,OF,2.86%,7
,,,,,,,Corey Dickerson,OF,2.86%,14
,,,,,,,Niko Goodrum,2B,2.86%,9
,,,,,,,Jesse Winker,OF,2.86%,0
,,,,,,,Paul Goldschmidt,1B,1.43%,0
,,,,,,,Jonathan Villar,2B,1.43%,5
,,,,,,,José Peraza,SS,1.43%,0
,,,,,,,Lucas Duda,1B,1.43%,3
,,,,,,,Leury García,OF,1.43%,0
,,,,,,,Jason Heyward,OF,1.43%,7
,,,,,,,Carlos Santana,1B,1.43%,2
,,,,,,,Nick Ahmed,SS,1.43%,7
,,,,,,,Andrew Benintendi,OF,1.43%,7
,,,,,,,Mitch Moreland,1B,1.43%,9
,,,,,,,Daniel Descalso,3B,1.43%,0
,,,,,,,Josh Harrison,2B,1.43%,10
,,,,,,,Adam Jones,OF,1.43%,11
,,,,,,,Braxton Lee,OF,1.43%,7
,,,,,,,Paul DeJong,SS,1.43%,0
,,,,,,,Adam Duvall,OF,1.43%,0
,,,,,,,Derek Dietrich,2B,1.43%,3
,,,,,,,Trevor Richards,P,1.43%,1.6
,,,,,,,Jonathan Schoop,2B,1.43%,5
,,,,,,,Danny Valencia,3B,1.43%,20
,,,,,,,C.J. Cron,1B,1.43%,16
