Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
44,1063672696,scout326 (1/2),0,61.35,P José Quintana P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 1B José Abreu 3B Alex Bregman OF Avisaíl García C Welington Castillo OF Leury García,,Odúbel Herrera,OF,10.17%,12
45,1063582220,DraftCheat,0,59.85,P Mike Clevinger P Jordan Montgomery 3B Kris Bryant OF Lorenzo Cain OF Ryan Braun C Willson Contreras SS Addison Russell 1B Jesús Aguilar OF Domingo Santana 2B Ben Zobrist,,Tyler Mahle,P,10.17%,-1.5
46,1063666772,solsoxx,0,59.2,P Charlie Morton P Tyler Mahle OF Rhys Hoskins SS Carlos Correa 3B Maikel Franco OF Tommy Pham C Welington Castillo 1B Tyler Austin 2B Yolmer Sánchez OF Rob Refsnyder,,Yadier Molina,C,8.47%,5
47,1063552337,bradhr (2/2),0,58.1,P Reynaldo López P Jordan Montgomery 2B José Altuve OF Aaron Judge SS Carlos Correa 1B Edwin Encarnacion OF Brett Gardner 3B Maikel Franco OF Avisaíl García C Yadier Molina,,Bradley Zimmer,OF,8.47%,9
47,1063572853,wakeywakey (2/2),0,58.1,P Reynaldo López P Jordan Montgomery OF Giancarlo Stanton 3B Kris Bryant OF Kyle Schwarber 1B Ryan Braun C Willson Contreras SS Addison Russell OF Domingo Santana 2B Ben Zobrist,,José Martínez,1B,8.47%,0
49,1063569638,noodles28 (2/2),0,57.05,P Taijuan Walker P Jordan Montgomery 2B José Altuve OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi SS Xander Bogaerts 3B Alex Bregman 1B Mitch Moreland C Victor Caratini,,Tommy Pham,OF,6.78%,2
50,1063598008,Caysch,0,53.05,P Jake Arrieta P Eduardo Rodríguez OF Andrew Benintendi SS Xander Bogaerts 1B José Abreu 3B Alex Bregman OF Avisaíl García C Welington Castillo OF Domingo Santana 2B Neil Walker,,Max Stassi,C,6.78%,18
51,1063612349,mrgoodseats (1/2),0,52.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 2B José Ramírez 1B Joey Votto C Willson Contreras OF Michael Brantley OF Domingo Santana,,Matt Duffy,3B,6.78%,10
51,1063612459,mrgoodseats (2/2),0,52.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 2B José Ramírez 1B Ryan Braun C Willson Contreras OF Michael Brantley OF Domingo Santana,,C.J. Cron,1B,6.78%,16
53,1063703405,NAGELJO,0,51.85,P Mike Clevinger P Jordan Montgomery OF George Springer SS Francisco Lindor 1B Yonder Alonso 2B Yoán Moncada 3B Maikel Franco OF Michael Brantley OF Dexter Fowler C Max Stassi,,Yoán Moncada,2B,6.78%,0
54,1063668676,Hamre,0,51.35,P Tyler Mahle P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion OF Brett Gardner 2B Jason Kipnis OF Michael Brantley C Yan Gomes,,Jace Peterson,3B,6.78%,6
55,1063703641,jksmlmf,0,48.1,P Reynaldo López P Jordan Montgomery 3B Kris Bryant SS Carlos Correa OF Kyle Schwarber 2B José Ramírez OF Ryan Braun C Willson Contreras OF Michael Brantley 1B José Martínez,,Matt Carpenter,1B,5.08%,2
56,1063679822,ChipotleAddict (2/2),0,42.55,P Jake Arrieta P Jordan Montgomery 3B Kris Bryant OF Kyle Schwarber OF Lorenzo Cain 1B Ryan Braun C Willson Contreras SS Addison Russell OF Domingo Santana 2B Jonathan Villar,,George Springer,OF,5.08%,3
57,1063572818,wakeywakey (1/2),0,40.6,P Eduardo Rodríguez P Reynaldo López 2B José Altuve SS Carlos Correa OF George Springer OF Ryan Braun 3B Alex Bregman 1B Jesús Aguilar OF Domingo Santana C Manny Piña,,Jonathan Schoop,2B,5.08%,5
58,1063670137,TuttKing,0,37.55,P Eduardo Rodríguez P Tyler Mahle OF Rhys Hoskins 3B Kris Bryant SS Xander Bogaerts 1B Matt Davidson 2B César Hernández OF Tommy Pham C Evan Gattis OF Jesse Winker,,Austin Romine,C,5.08%,17
59,1063701973,perkinpat,0,33.4,P Jordan Montgomery P Luke Weaver OF Giancarlo Stanton SS Francisco Lindor 1B Edwin Encarnacion 3B José Ramírez OF Ian Happ 2B Jason Kipnis OF Marcell Ozuna C Evan Gattis,,Carlos Santana,1B,5.08%,2
,,,,,,,Ronald Torreyes,SS,5.08%,7
,,,,,,,Albert Almora Jr.,OF,5.08%,9
,,,,,,,Tyler Austin,1B,5.08%,14
,,,,,,,Yonder Alonso,1B,5.08%,5
,,,,,,,Eugenio Suárez,3B,3.39%,2
,,,,,,,Taijuan Walker,P,3.39%,14.5
,,,,,,,Mookie Betts,OF,3.39%,16
,,,,,,,Andrew Benintendi,OF,3.39%,7
,,,,,,,Jesús Aguilar,1B,3.39%,2
,,,,,,,Trey Mancini,OF,3.39%,5
,,,,,,,Lorenzo Cain,OF,3.39%,6
,,,,,,,Joey Votto,1B,3.39%,0
,,,,,,,Billy Hamilton,OF,3.39%,0
,,,,,,,Mike Fiers,P,3.39%,26.5
,,,,,,,J.P. Crawford,SS,3.39%,0
,,,,,,,Nicky Delmonico,OF,3.39%,2
,,,,,,,Jesse Winker,OF,3.39%,0
,,,,,,,Evan Gattis,C,3.39%,0
,,,,,,,Tucker Barnhart,C,3.39%,0
,,,,,,,Corey Dickerson,OF,3.39%,14
,,,,,,,Craig Gentry,OF,1.69%,23
,,,,,,,Hernán Pérez,OF,1.69%,0
,,,,,,,Bryan Holaday,C,1.69%,5
,,,,,,,Mitch Moreland,1B,1.69%,9
,,,,,,,Manny Piña,C,1.69%,0
,,,,,,,Trevor Richards,P,1.69%,1.6
,,,,,,,Scooter Gennett,2B,1.69%,2
,,,,,,,José Peraza,SS,1.69%,0
,,,,,,,Andrew Knapp,C,1.69%,3
,,,,,,,Carlos Gómez,OF,1.69%,10
,,,,,,,Daniel Robertson,SS,1.69%,19
,,,,,,,Jesús Sucre,C,1.69%,2
,,,,,,,Rafael Devers,3B,1.69%,13
,,,,,,,Chase Anderson,P,1.69%,9.3
,,,,,,,Francisco Cervelli,C,1.69%,2
,,,,,,,Josh Reddick,OF,1.69%,19
,,,,,,,Derek Fisher,OF,1.69%,3
,,,,,,,Yolmer Sánchez,2B,1.69%,0
,,,,,,,Rob Refsnyder,OF,1.69%,4
,,,,,,,Leury García,OF,1.69%,0
,,,,,,,Paul Goldschmidt,1B,1.69%,0
,,,,,,,Jonathan Villar,2B,1.69%,5
,,,,,,,Adeiny Hechavarria,SS,1.69%,5
,,,,,,,Ian Happ,OF,1.69%,0
,,,,,,,David Peralta,OF,1.69%,19
,,,,,,,Hanley Ramirez,1B,1.69%,14
,,,,,,,Starling Marte,OF,1.69%,7
,,,,,,,Eduardo Núñez,SS,1.69%,9
