Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
61,1063577711,weavster22,108.55,Marwin Gonzalez,1B,4.60,5,Charlie Morton,Luke Weaver,Bryan Holaday,Neil Walker,Jonathan Schoop,Alex Bregman,Carlos Correa,"Aaron Judge,Josh Reddick,Brett Gardner"
65,1063108455,youdacao,108.35,Austin Romine,C,4.40,17,Jose Quintana,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Aaron Judge,Albert Almora"
65,1063354470,BrothaChristian,108.35,Jace Peterson,2B,4.20,6,Jameson Taillon,Taijuan Walker,Austin Romine,Tyler Austin,Jose Altuve,Alex Bregman,Manny Machado,"George Springer,Brett Gardner,Derek Fisher"
67,1063188454,dan5r,107.55,Miguel Andujar,3B,4.20,14,Charlie Morton,Luke Weaver,Max Stassi,Carlos Santana,Cesar Hernandez,Alex Bregman,Paul DeJong,"Rhys Hoskins,Odubel Herrera,Nick Williams"
67,1063406109,KKHS_Maz,107.55,Ronald Torreyes,SS,4.20,7,Charlie Morton,Luke Weaver,Andrew Knapp,Tyler Austin,Neil Walker,Miguel Andujar,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Nick Williams"
69,1063074899,bigdshaggyj,106.55,Eduardo Nunez,SS,4.00,9,Charlie Morton,Luke Weaver,Welington Castillo,Tyler Austin,Neil Walker,Miguel Andujar,Manny Machado,"Rhys Hoskins,J.D. Martinez,Jesse Winker"
69,1063277542,REDCOAT85,106.55,Mike Fiers,P,3.80,26.5,Jose Quintana,Eduardo Rodriguez,Willson Contreras,Justin Bour,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Brett Gardner,Albert Almora"
71,1063477808,ehafner,106.05,Billy Hamilton,OF,3.80,0,Jose Quintana,Reynaldo Lopez,Willson Contreras,Neil Walker,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Brett Gardner,Albert Almora"
72,1063523554,fantasyfever,105.7,Niko Goodrum,2B,3.80,9,Charlie Morton,Jake Arrieta,Manny Pina,C.J. Cron,Daniel Robertson,Matt Duffy,Carlos Correa,"Giancarlo Stanton,Kevin Kiermaier,Carlos Gomez"
73,1063156176,scout326,105.5,Hanley Ramirez,1B,3.80,14,Jake Arrieta,Jose Quintana,Victor Caratini,Josh Bell,Ben Zobrist,Kris Bryant,Addison Russell,"Starling Marte,Gregory Polanco,Corey Dickerson"
74,1063466477,Louiegatbs,105.4,Manny Pina,C,3.80,0,Reynaldo Lopez,Luke Weaver,Yan Gomes,Edwin Encarnacion,Yoan Moncada,Manny Machado,Xander Bogaerts,"Rhys Hoskins,Aaron Judge,Carlos Gomez"
75,1063108469,youdacao,105.35,Yonder Alonso,1B,3.40,5,Jose Quintana,Luke Weaver,Willson Contreras,Carlos Santana,Ben Zobrist,Alex Bregman,Addison Russell,"Kyle Schwarber,Odubel Herrera,Albert Almora"
75,1063184838,bryito12,105.35,Andrew Benintendi,OF,3.40,7,Jose Quintana,Luke Weaver,Willson Contreras,Edwin Encarnacion,Ben Zobrist,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Corey Dickerson,Albert Almora"
77,1063467303,Awesemo,105.2,Adam Jones,OF,3.40,11,Charlie Morton,Jose Quintana,Andrew Knapp,Miguel Cabrera,Cesar Hernandez,Jeimer Candelario,J.P. Crawford,"Rhys Hoskins,Odubel Herrera,Leonys Martin"
78,1063309956,fortheoffice,104.75,Jesus Aguilar,1B,3.40,2,Mike Clevinger,Luke Weaver,Willson Contreras,Carlos Santana,Ben Zobrist,Maikel Franco,Addison Russell,"Rhys Hoskins,Odubel Herrera,Nick Williams"
79,1063140122,BirdWings,104.55,Tim Anderson,SS,3.20,8,Charlie Morton,Luke Weaver,Max Stassi,Tyler Austin,Neil Walker,Alex Bregman,Carlos Correa,"George Springer,Brett Gardner,Domingo Santana"
79,1063500313,Seaweed81,104.55,Mike Moustakas,3B,3.20,6,Charlie Morton,Luke Weaver,Yan Gomes,Ryan Braun,Cesar Hernandez,Maikel Franco,Ronald Torreyes,"Rhys Hoskins,Lorenzo Cain,Domingo Santana"
81,1063108465,youdacao,104.35,Carlos Gomez,OF,3.20,10,Jose Quintana,Luke Weaver,Willson Contreras,Trey Mancini,Jose Altuve,Kris Bryant,Manny Machado,"Kyle Schwarber,Ben Zobrist,Albert Almora"
81,1063467305,Awesemo,104.35,Justin Bour,1B,3.20,7,Jose Quintana,Luke Weaver,Andrew Knapp,Carlos Santana,Cesar Hernandez,Rafael Devers,J.P. Crawford,"Rhys Hoskins,Mookie Betts,J.D. Martinez"
81,1063494740,zhatch123,104.35,Leury Garcia,OF,3.00,0,Jose Quintana,Luke Weaver,Evan Gattis,Matt Carpenter,Jonathan Schoop,Manny Machado,Xander Bogaerts,"Aaron Judge,Mookie Betts,Brett Gardner"
84,1063576792,GrindersCal,103.9,Tucker Barnhart,C,3.00,0,Jameson Taillon,Eduardo Rodriguez,Christian Vazquez,Mitch Moreland,Niko Goodrum,Jeimer Candelario,Paul DeJong,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
85,1063184368,crump11,103.55,Max Stassi,C,3.00,18,Charlie Morton,Jameson Taillon,Austin Romine,Matt Carpenter,Neil Walker,Maikel Franco,Carlos Correa,"Marcell Ozuna,Tommy Pham,Jose Martinez"
86,1063519248,Mishkin,103.4,Paul DeJong,SS,3.00,0,Jameson Taillon,Reynaldo Lopez,Yadier Molina,Matt Davidson,Cesar Hernandez,Maikel Franco,Xander Bogaerts,"Mookie Betts,Marcell Ozuna,Jose Martinez"
87,1063290441,COYLER5186,103.35,Lucas Duda,1B,2.60,3,Jose Quintana,Luke Weaver,Andrew Knapp,Edwin Encarnacion,Jose Ramirez,Mike Moustakas,Manny Machado,"Aaron Judge,Brett Gardner,Odubel Herrera"
88,1063446318,windchimesRrude,102.5,Corey Dickerson,OF,2.40,14,Jake Arrieta,Jose Quintana,Willson Contreras,Lucas Duda,Whit Merrifield,Mike Moustakas,Carlos Correa,"Aaron Judge,Jon Jay,Jorge Soler"
89,1063289598,fatqb3,102.4,J.P. Crawford,SS,2.40,0,Jameson Taillon,Jordan Montgomery,Austin Romine,Ryan Braun,Eduardo Nunez,Maikel Franco,Xander Bogaerts,"Aaron Judge,Andrew Benintendi,Brett Gardner"
90,1063492703,Legit-Storm,101.6,Jesus Sucre,C,2.20,2,Charlie Morton,Mike Clevinger,Tucker Barnhart,Paul Goldschmidt,Ketel Marte,Jace Peterson,Jose Peraza,"A.J. Pollock,David Peralta,Braxton Lee"
91,1063253089,dandydon,101.55,Matt Duffy,3B,2.20,10,Charlie Morton,Luke Weaver,Willson Contreras,Jesus Aguilar,Ben Zobrist,Kris Bryant,Addison Russell,"Lorenzo Cain,Domingo Santana,Albert Almora"
