Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
226,1062996434,ChipotleAddict,82,,,,,Jose Quintana,Mike Fiers,Willson Contreras,Paul Goldschmidt,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Bradley Zimmer"
227,1063435691,dahladino,81.9,,,,,Eduardo Rodriguez,Luke Weaver,Yan Gomes,Neil Walker,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Michael Brantley"
228,1063388279,bric75,81.85,,,,,Jake Arrieta,Luke Weaver,Andrew Knapp,Carlos Santana,Cesar Hernandez,Jose Ramirez,Francisco Lindor,"Rhys Hoskins,Michael Brantley,Odubel Herrera"
229,1063070524,felder15,81.75,,,,,Mike Clevinger,Luke Weaver,Manny Pina,Marwin Gonzalez,Jose Altuve,Matt Duffy,Carlos Correa,"Josh Reddick,Brett Gardner,Dexter Fowler"
230,1063156171,scout326,81.55,,,,,Jose Quintana,Eduardo Rodriguez,Austin Romine,Neil Walker,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Brett Gardner,Michael Brantley"
230,1063175933,moklovin,81.55,,,,,Charlie Morton,Luke Weaver,Welington Castillo,Neil Walker,Yoan Moncada,Mike Moustakas,Tim Anderson,"Giancarlo Stanton,Avisail Garcia,Nicky Delmonico"
232,1062996443,ChipotleAddict,81.5,,,,,Jake Arrieta,Jose Quintana,Willson Contreras,Lucas Duda,Whit Merrifield,Mike Moustakas,Addison Russell,"Kyle Schwarber,Starling Marte,Bradley Zimmer"
233,1063524565,GrindersCal,81.4,,,,,Jordan Montgomery,Luke Weaver,Victor Caratini,Hanley Ramirez,Josh Harrison,Kris Bryant,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
234,1063467299,Awesemo,81.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Yoan Moncada,Matt Davidson,Eduardo Nunez,"Mookie Betts,J.D. Martinez,Nicky Delmonico"
235,1063529159,mray6288,81.25,,,,,Charlie Morton,Jordan Montgomery,Willson Contreras,Carlos Santana,Cesar Hernandez,Kris Bryant,Addison Russell,"Odubel Herrera,Albert Almora,Nick Williams"
236,1063477817,ehafner,81.05,,,,,Jose Quintana,Reynaldo Lopez,Welington Castillo,Jose Abreu,Yoan Moncada,Yolmer Sanchez,Eduardo Nunez,"Mookie Betts,J.D. Martinez,Avisail Garcia"
237,1063438237,Zeechamp,80.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Ryan Braun,Jose Ramirez,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Ben Zobrist,Albert Almora"
238,1063302411,pocktchnge,80.7,,,,,Jameson Taillon,Luke Weaver,Andrew Knapp,Jose Abreu,Jose Altuve,Matt Davidson,Carlos Correa,"George Springer,Avisail Garcia,Leury Garcia"
239,1062996439,ChipotleAddict,80.5,,,,,Jake Arrieta,Jose Quintana,Welington Castillo,Jose Abreu,Yoan Moncada,Mike Moustakas,Tim Anderson,"Kyle Schwarber,Ben Zobrist,Albert Almora"
239,1063381696,zsavior,80.5,,,,,Jake Arrieta,Jose Quintana,Welington Castillo,Jose Abreu,Neil Walker,Jace Peterson,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Avisail Garcia"
241,1063109977,shawnzhan,80.4,,,,,Reynaldo Lopez,Luke Weaver,Willson Contreras,Eric Hosmer,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,George Springer,Kyle Schwarber"
241,1063564503,frankdrebin,80.4,,,,,Jordan Montgomery,Luke Weaver,Yan Gomes,Yonder Alonso,Neil Walker,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
243,1063486112,mazwa,80.25,,,,,Charlie Morton,Jordan Montgomery,Willson Contreras,Jesus Aguilar,Ben Zobrist,Kris Bryant,Addison Russell,"Lorenzo Cain,Domingo Santana,Albert Almora"
244,1063463117,Bozie11,80.05,,,,,Jake Arrieta,Eduardo Rodriguez,Victor Caratini,Matt Carpenter,Neil Walker,Manny Machado,Tim Beckham,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
245,1063551320,isupol,79.85,,,,,Chase Anderson,Jordan Montgomery,Max Stassi,Marwin Gonzalez,Jose Altuve,Maikel Franco,Carlos Correa,"Rhys Hoskins,Josh Reddick,Odubel Herrera"
246,1063480367,ianj300,79.55,,,,,Charlie Morton,Luke Weaver,Yadier Molina,Matt Carpenter,Jose Altuve,Alex Bregman,Paul DeJong,"Josh Reddick,Marcell Ozuna,Jose Martinez"
247,1063416820,justajoe2u,79.45,,,,,Mike Clevinger,Reynaldo Lopez,Manny Pina,C.J. Cron,Jason Kipnis,Jose Ramirez,Orlando Arcia,"Giancarlo Stanton,Aaron Judge,Carlos Gomez"
248,1063107811,wcdenin24,79.35,,,,,Jameson Taillon,Taijuan Walker,Welington Castillo,Neil Walker,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Lorenzo Cain,Ryan Braun,Michael Brantley"
248,1063109976,shawnzhan,79.35,,,,,Mike Fiers,Luke Weaver,Willson Contreras,Yonder Alonso,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Kyle Schwarber,Michael Brantley"
248,1063554483,squirrelpatroldk,79.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Neil Walker,Jose Altuve,Alex Bregman,Carlos Correa,"Aaron Judge,Brett Gardner,Jesse Winker"
251,1063388280,bric75,79.05,,,,,Jose Quintana,Jordan Montgomery,Willson Contreras,Neil Walker,Jace Peterson,Alex Bregman,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
252,1063024486,papagates,79,,,,,Jose Quintana,Mike Fiers,Willson Contreras,Miguel Cabrera,Niko Goodrum,Kris Bryant,Addison Russell,"Kyle Schwarber,Nicholas Castellanos,Billy Hamilton"
253,1063175604,jrh002,78.9,,,,,Eduardo Rodriguez,Luke Weaver,Austin Romine,Yonder Alonso,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Michael Brantley"
253,1063228799,ThatStunna,78.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Tyler Austin,Neil Walker,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
255,1063144912,bcave369,78.85,,,,,Jake Arrieta,Luke Weaver,Victor Caratini,Joey Votto,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Aaron Judge,Albert Almora"
256,1063565450,Mohmo,78.75,,,,,Mike Clevinger,Luke Weaver,Willson Contreras,Ryan Braun,Neil Walker,Alex Bregman,Orlando Arcia,"Giancarlo Stanton,Lorenzo Cain,Albert Almora"
257,1063109986,shawnzhan,78.6,,,,,Eduardo Rodriguez,Reynaldo Lopez,Evan Gattis,Neil Walker,Jose Altuve,Alex Bregman,Manny Machado,"George Springer,Josh Reddick,Avisail Garcia"
258,1063232744,davewiff,78.55,,,,,Jake Arrieta,Reynaldo Lopez,Andrew Knapp,Carlos Santana,Yoan Moncada,Maikel Franco,Manny Machado,"Rhys Hoskins,Avisail Garcia,Odubel Herrera"
258,1063328203,kfalik,78.55,,,,,Charlie Morton,Luke Weaver,Tucker Barnhart,Matt Carpenter,Neil Walker,Kris Bryant,Xander Bogaerts,"Giancarlo Stanton,Corey Dickerson,Dexter Fowler"
258,1063524930,Bales,78.55,,,,,Charlie Morton,Luke Weaver,Max Stassi,Matt Carpenter,Jose Altuve,Alex Bregman,Carlos Correa,"Marcell Ozuna,Marwin Gonzalez,Dexter Fowler"
261,1063024476,papagates,78.5,,,,,Jake Arrieta,Jose Quintana,Willson Contreras,Yonder Alonso,Jason Kipnis,Mike Moustakas,Addison Russell,"Kyle Schwarber,Michael Brantley,Bradley Zimmer"
261,1063277543,REDCOAT85,78.5,,,,,Jake Arrieta,Jose Quintana,Andrew Knapp,Carlos Santana,Neil Walker,Maikel Franco,Ronald Torreyes,"Giancarlo Stanton,Rhys Hoskins,Nick Williams"
263,1063532293,rockchalkjr,78.4,,,,,Jordan Montgomery,Luke Weaver,Welington Castillo,Hanley Ramirez,Cesar Hernandez,Matt Davidson,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Brett Gardner"
264,1063297882,hfdwhalers,78.2,,,,,Charlie Morton,Tyler Mahle,Willson Contreras,C.J. Cron,Jason Kipnis,Kris Bryant,Francisco Lindor,"Derek Dietrich,Albert Almora,Carlos Gomez"
265,1062996444,ChipotleAddict,78.05,,,,,Jose Quintana,Jordan Montgomery,Willson Contreras,Edwin Encarnacion,Yoan Moncada,Jose Ramirez,Addison Russell,"Mookie Betts,Michael Brantley,Bradley Zimmer"
266,1063169569,moklovin,77.85,,,,,Jake Arrieta,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Bradley Zimmer"
267,1063156164,scout326,77.75,,,,,Charlie Morton,Eduardo Rodriguez,Willson Contreras,Matt Carpenter,Ben Zobrist,Kris Bryant,Addison Russell,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
268,1063535238,trashaway,77.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Willson Contreras,Jose Abreu,Neil Walker,Maikel Franco,Manny Machado,"Rhys Hoskins,Aaron Judge,Marcell Ozuna"
269,1063477810,ehafner,77.45,,,,,Mike Clevinger,Reynaldo Lopez,Willson Contreras,Ryan Braun,Ben Zobrist,Kris Bryant,Addison Russell,"Lorenzo Cain,Domingo Santana,Hernan Perez"
270,1063302451,fortheoffice,77.35,,,,,Tyler Mahle,Luke Weaver,Caleb Joseph,Hanley Ramirez,Jonathan Schoop,Manny Machado,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
271,1063297405,tmarzy,77.2,,,,,Charlie Morton,Jose Quintana,Willson Contreras,Joey Votto,Scooter Gennett,Kris Bryant,Jose Peraza,"Adam Duvall,Billy Hamilton,Jason Heyward"
272,1063566950,Rkennedy23,77.05,,,,,Jake Arrieta,Eduardo Rodriguez,Victor Caratini,Paul Goldschmidt,Jonathan Schoop,Alex Bregman,Paul DeJong,"A.J. Pollock,David Peralta,Ryan Braun"
273,1063024473,papagates,77,,,,,Jose Quintana,Mike Fiers,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
274,1063304567,fortheoffice,76.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Ben Zobrist"
275,1063277544,REDCOAT85,76.75,,,,,Charlie Morton,Eduardo Rodriguez,Andrew Knapp,Justin Bour,Neil Walker,Maikel Franco,J.P. Crawford,"Giancarlo Stanton,Rhys Hoskins,Nick Williams"
275,1063435698,dahladino,76.75,,,,,Mike Clevinger,Luke Weaver,Yan Gomes,Jose Abreu,Jose Ramirez,Matt Davidson,Francisco Lindor,"Avisail Garcia,Michael Brantley,Nicky Delmonico"
277,1063156168,scout326,76.5,,,,,Jake Arrieta,Jose Quintana,Evan Gattis,Carlos Santana,Jose Altuve,Alex Bregman,J.P. Crawford,"Josh Reddick,Odubel Herrera,Nick Williams"
278,1063330183,TBAP,76.25,,,,,Charlie Morton,Jordan Montgomery,Francisco Cervelli,Lucas Duda,Whit Merrifield,Mike Moustakas,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Jon Jay"
278,1063536948,REDCOAT85,76.25,,,,,Charlie Morton,Jordan Montgomery,Francisco Cervelli,Miguel Cabrera,Josh Harrison,Jace Peterson,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
280,1063024482,papagates,76.05,,,,,Jose Quintana,Jordan Montgomery,Yan Gomes,Yonder Alonso,Ben Zobrist,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
280,1063371128,nawmsayin,76.05,,,,,Jose Quintana,Reynaldo Lopez,Alex Avila,Paul Goldschmidt,Ketel Marte,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Derek Fisher"
282,1063438196,tinderella,75.95,,,,,Mike Clevinger,Eduardo Rodriguez,Victor Caratini,Neil Walker,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Brett Gardner,Albert Almora"
283,1063430760,justajoe2u,75.75,,,,,Charlie Morton,Eduardo Rodriguez,Andrew Knapp,Tyler Austin,Yolmer Sanchez,Maikel Franco,Carlos Correa,"Rhys Hoskins,Avisail Garcia,Leury Garcia"
284,1063523553,fantasyfever,75.7,,,,,Charlie Morton,Jake Arrieta,Jesus Sucre,Jesus Aguilar,Jonathan Villar,Danny Valencia,Francisco Lindor,"Lorenzo Cain,Ryan Braun,Domingo Santana"
285,1063334631,MattyG530,75.55,,,,,Charlie Morton,Luke Weaver,Max Stassi,Matt Carpenter,Jose Altuve,Alex Bregman,Carlos Correa,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
286,1063512353,tammytaylor58,75.45,,,,,Mike Clevinger,Reynaldo Lopez,Max Stassi,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Avisail Garcia,Michael Brantley,Nick Williams"
287,1063123430,cheeseisgood,75.4,,,,,Reynaldo Lopez,Luke Weaver,Welington Castillo,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Avisail Garcia"
287,1063350436,alanbr,75.4,,,,,Mike Clevinger,Mike Fiers,Jesus Sucre,C.J. Cron,Jason Kipnis,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Tyler Naquin"
289,1063457899,Duncaroo,75.35,,,,,Tyler Mahle,Luke Weaver,Yan Gomes,Yonder Alonso,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Mookie Betts,Odubel Herrera"
290,1063239515,metin317,75.25,,,,,Charlie Morton,Reynaldo Lopez,Welington Castillo,Carlos Santana,Jason Kipnis,Maikel Franco,Francisco Lindor,"Michael Brantley,Odubel Herrera,Nick Williams"
291,1063477815,ehafner,75.05,,,,,Jose Quintana,Reynaldo Lopez,Welington Castillo,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"Josh Reddick,Avisail Garcia,Leury Garcia"
292,1063462865,jsltfc,74.55,,,,,Charlie Morton,Luke Weaver,Welington Castillo,Jesus Aguilar,Eduardo Nunez,Kris Bryant,Addison Russell,"Rhys Hoskins,Domingo Santana,Hernan Perez"
293,1063509617,gordylamb,74.45,,,,,Mike Clevinger,Reynaldo Lopez,Welington Castillo,Carlos Santana,Cesar Hernandez,Jose Ramirez,Francisco Lindor,"Michael Brantley,Odubel Herrera,Nick Williams"
293,1063543617,McJester,74.45,,,,,Luke Weaver,Trevor Richards,Willson Contreras,Marwin Gonzalez,Jose Altuve,Miguel Andujar,Carlos Correa,"Giancarlo Stanton,Aaron Judge,George Springer"
295,1063342589,alanbr,74.4,,,,,Mike Clevinger,Mike Fiers,Jesus Sucre,Marwin Gonzalez,Jose Altuve,Jace Peterson,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Braxton Lee"
295,1063573544,mbaggia08,74.4,,,,,Jordan Montgomery,Luke Weaver,Victor Caratini,Hanley Ramirez,Neil Walker,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Mookie Betts,J.D. Martinez"
295,1063577527,SamENole,74.4,,,,,Jordan Montgomery,Luke Weaver,Willson Contreras,Jesus Aguilar,Jose Altuve,Kris Bryant,Carlos Correa,"George Springer,Josh Reddick,Albert Almora"
298,1063184859,bryito12,74.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Matt Carpenter,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Dexter Fowler"
298,1063543210,isupol,74.35,,,,,Chase Anderson,Eduardo Rodriguez,Max Stassi,Carlos Santana,Cesar Hernandez,Maikel Franco,Carlos Correa,"Rhys Hoskins,Marwin Gonzalez,Nick Williams"
300,1063435697,dahladino,73.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Yonder Alonso,Jose Ramirez,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Albert Almora"
300,1063467564,thepickler,73.9,,,,,Eduardo Rodriguez,Luke Weaver,Victor Caratini,Neil Walker,Jose Altuve,Kris Bryant,Carlos Correa,"Giancarlo Stanton,Josh Reddick,Michael Brantley"
302,1063486626,Moogie,73.75,,,,,Charlie Morton,Eduardo Rodriguez,Andrew Knapp,Carlos Santana,Jason Kipnis,Jose Ramirez,J.P. Crawford,"Aaron Judge,Corey Dickerson,Dexter Fowler"
303,1063109988,shawnzhan,73.55,,,,,Charlie Morton,Luke Weaver,Manny Pina,Jesus Aguilar,Jonathan Schoop,Kris Bryant,Manny Machado,"Lorenzo Cain,Ryan Braun,Domingo Santana"
303,1063304217,fortheoffice,73.55,,,,,Charlie Morton,Luke Weaver,Yan Gomes,Matt Carpenter,Jose Altuve,Alex Bregman,Carlos Correa,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
303,1063481979,fallfromgrace,73.55,,,,,Charlie Morton,Luke Weaver,John Hicks,Miguel Cabrera,Niko Goodrum,Jeimer Candelario,Jose Iglesias,"Giancarlo Stanton,Aaron Judge,Dexter Fowler"
306,1062996436,ChipotleAddict,73.5,,,,,Jake Arrieta,Jose Quintana,Victor Caratini,Edwin Encarnacion,Ben Zobrist,Jose Ramirez,Francisco Lindor,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
307,1063395266,dscotti,73.4,,,,,Jordan Montgomery,Luke Weaver,Willson Contreras,Jesus Aguilar,Neil Walker,Kris Bryant,Carlos Correa,"Aaron Judge,George Springer,Lorenzo Cain"
308,1063109983,shawnzhan,73.25,,,,,Charlie Morton,Jordan Montgomery,Willson Contreras,Lucas Duda,Whit Merrifield,Mike Moustakas,Francisco Lindor,"Giancarlo Stanton,Jon Jay,Alex Gordon"
309,1063438193,tinderella,73.05,,,,,Jake Arrieta,Eduardo Rodriguez,Willson Contreras,Jose Abreu,Yoan Moncada,Kris Bryant,Addison Russell,"Avisail Garcia,Ben Zobrist,Albert Almora"
310,1063435696,dahladino,72.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Ben Zobrist"
311,1063256256,AnthonyTerzakos,72.85,,,,,Jake Arrieta,Luke Weaver,Manny Pina,Carlos Santana,Cesar Hernandez,Eugenio Suarez,Xander Bogaerts,"Aaron Judge,Lorenzo Cain,Marcell Ozuna"
312,1063451695,jsltfc,72.55,,,,,Charlie Morton,Luke Weaver,Welington Castillo,Jose Abreu,Eduardo Nunez,Kris Bryant,Addison Russell,"Marcell Ozuna,Tommy Pham,Avisail Garcia"
312,1063466374,andyv718,72.55,,,,,Charlie Morton,Luke Weaver,Willson Contreras,Matt Carpenter,Jose Altuve,Alex Bregman,Paul DeJong,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
314,1063024481,papagates,72.5,,,,,Jake Arrieta,Jose Quintana,Willson Contreras,Paul Goldschmidt,Ben Zobrist,Eugenio Suarez,Jose Peraza,"Kyle Schwarber,Adam Duvall,Billy Hamilton"
314,1063156172,scout326,72.5,,,,,Jake Arrieta,Jose Quintana,Victor Caratini,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Francisco Lindor,"Michael Brantley,Ben Zobrist,Jason Heyward"
316,1063548525,baise085,72.4,,,,,Jordan Montgomery,Luke Weaver,Victor Caratini,Edwin Encarnacion,Jose Altuve,Maikel Franco,Carlos Correa,"Mookie Betts,George Springer,Josh Reddick"
317,1063388281,bric75,72.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Yoan Moncada,Kris Bryant,Carlos Correa,"Aaron Judge,Avisail Garcia,Nicky Delmonico"
318,1063579844,ThorntonMelon,72.25,,,,,Charlie Morton,Jordan Montgomery,Yadier Molina,Lucas Duda,Jace Peterson,Kris Bryant,Carlos Correa,"Andrew Benintendi,Brett Gardner,Corey Dickerson"
319,1063109982,shawnzhan,72.1,,,,,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Carlos Santana,Jose Altuve,Maikel Franco,Francisco Lindor,"Rhys Hoskins,Odubel Herrera,Nick Williams"
319,1063355685,yankeesfan2,72.1,,,,,Reynaldo Lopez,Jordan Montgomery,Austin Romine,Neil Walker,Jose Altuve,Maikel Franco,Carlos Correa,"Giancarlo Stanton,Rhys Hoskins,Brett Gardner"
319,1063519888,zwright86,72.1,,,,,Reynaldo Lopez,Jordan Montgomery,Welington Castillo,Hanley Ramirez,Neil Walker,Matt Davidson,Xander Bogaerts,"Aaron Judge,J.D. Martinez,Brett Gardner"
322,1063523547,fantasyfever,72.05,,,,,Jake Arrieta,Eduardo Rodriguez,Evan Gattis,Yonder Alonso,Neil Walker,Miguel Andujar,J.P. Crawford,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
323,1062996445,ChipotleAddict,71.55,,,,,Jake Arrieta,Reynaldo Lopez,Willson Contreras,Jose Abreu,Ben Zobrist,Matt Davidson,Francisco Lindor,"Kyle Schwarber,Domingo Santana,Leury Garcia"
323,1063123414,cheeseisgood,71.55,,,,,Charlie Morton,Luke Weaver,Andrew Knapp,Edwin Encarnacion,Neil Walker,Jose Ramirez,Francisco Lindor,"Ryan Braun,Michael Brantley,Dexter Fowler"
323,1063478373,mray6288,71.55,,,,,Charlie Morton,Luke Weaver,Yadier Molina,Matt Carpenter,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Marcell Ozuna,Tommy Pham,Michael Brantley"
326,1063024478,papagates,71.5,,,,,Jake Arrieta,Jose Quintana,Yan Gomes,Lucas Duda,Jason Kipnis,Kris Bryant,Addison Russell,"Kyle Schwarber,Michael Brantley,Bradley Zimmer"
326,1063435227,yolegacy,71.5,,,,,Jake Arrieta,Tyler Mahle,Tucker Barnhart,Hanley Ramirez,Cesar Hernandez,Maikel Franco,Jose Peraza,"Rhys Hoskins,Aaron Judge,Odubel Herrera"
328,1063355708,yankeesfan2,71.4,,,,,Jordan Montgomery,Luke Weaver,Willson Contreras,Edwin Encarnacion,Jace Peterson,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
329,1063467297,Awesemo,71.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Jose Ramirez,Matt Davidson,Francisco Lindor,"Avisail Garcia,Michael Brantley,Nicky Delmonico"
330,1062996437,ChipotleAddict,71.05,,,,,Jose Quintana,Reynaldo Lopez,Willson Contreras,Jose Abreu,Yoan Moncada,Kris Bryant,Addison Russell,"Kyle Schwarber,Avisail Garcia,Billy Hamilton"
330,1062996440,ChipotleAddict,71.05,,,,,Jose Quintana,Reynaldo Lopez,Welington Castillo,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Tim Anderson,"Kyle Schwarber,Avisail Garcia,Michael Brantley"
330,1063474850,Awesemo,71.05,,,,,Jose Quintana,Reynaldo Lopez,Welington Castillo,Jose Abreu,Yoan Moncada,Yolmer Sanchez,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Nicky Delmonico"
333,1063270550,sirmalcolm,70.9,,,,,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Jose Abreu,Jason Kipnis,Mike Moustakas,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Dexter Fowler"
333,1063506708,mjchan89,70.9,,,,,Eduardo Rodriguez,Luke Weaver,Welington Castillo,Hanley Ramirez,Yoan Moncada,Matt Davidson,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Jesse Winker"
335,1063109984,shawnzhan,70.85,,,,,Jake Arrieta,Luke Weaver,Caleb Joseph,Trey Mancini,Jonathan Schoop,Jose Ramirez,Manny Machado,"Giancarlo Stanton,Kyle Schwarber,Adam Jones"
335,1063531323,mlbmodel,70.85,,,,,Jake Arrieta,Luke Weaver,Victor Caratini,Carlos Santana,Jason Kipnis,Alex Bregman,Francisco Lindor,"Mookie Betts,Andrew Benintendi,Michael Brantley"
337,1063464229,m3deman,70.75,,,,,Mike Clevinger,Luke Weaver,Welington Castillo,Jose Abreu,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Avisail Garcia,Michael Brantley,Corey Dickerson"
338,1063109985,shawnzhan,70.55,,,,,Jose Quintana,Eduardo Rodriguez,Victor Caratini,Lucas Duda,Ben Zobrist,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Kyle Schwarber,Jason Heyward"
339,1063306640,tmarzy,70.45,,,,,Mike Clevinger,Reynaldo Lopez,Willson Contreras,Jose Abreu,Yoan Moncada,Matt Davidson,Tim Anderson,"Avisail Garcia,Adam Duvall,Billy Hamilton"
339,1063519329,McJester,70.45,,,,,Luke Weaver,Trevor Richards,Yan Gomes,Edwin Encarnacion,Jose Altuve,Miguel Andujar,Carlos Correa,"Giancarlo Stanton,Aaron Judge,George Springer"
341,1063298766,fortheoffice,70.35,,,,,Jose Quintana,Luke Weaver,Welington Castillo,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Rhys Hoskins,Michael Brantley,Dexter Fowler"
342,1063352631,wakeywakey,70.25,,,,,Charlie Morton,Reynaldo Lopez,Manny Pina,Ryan Braun,Neil Walker,Alex Bregman,Manny Machado,"George Springer,Domingo Santana,Dexter Fowler"
343,1063392764,msrebels,70.1,,,,,Reynaldo Lopez,Jordan Montgomery,Yadier Molina,Jose Abreu,Jose Altuve,Eugenio Suarez,Carlos Correa,"Aaron Judge,Josh Reddick,Avisail Garcia"
344,1063296211,Signature,69.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Edwin Encarnacion,Neil Walker,Kris Bryant,Carlos Correa,"Mookie Betts,Nicholas Castellanos,Niko Goodrum"
344,1063311655,CosaSpeciale,69.9,,,,,Eduardo Rodriguez,Luke Weaver,Yan Gomes,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Brett Gardner,Avisail Garcia"
346,1063476619,ianj300,69.85,,,,,Chase Anderson,Reynaldo Lopez,Evan Gattis,Mitch Moreland,Eduardo Nunez,Alex Bregman,Carlos Correa,"Mookie Betts,J.D. Martinez,Marwin Gonzalez"
347,1063486115,mazwa,69.6,,,,,Eduardo Rodriguez,Jordan Montgomery,Willson Contreras,Matt Carpenter,Ben Zobrist,Kris Bryant,Carlos Correa,"Aaron Judge,Kyle Schwarber,Albert Almora"
348,1062996446,ChipotleAddict,69.05,,,,,Jose Quintana,Jordan Montgomery,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Kyle Schwarber,Corey Dickerson,Jason Heyward"
348,1062996447,ChipotleAddict,69.05,,,,,Jose Quintana,Jordan Montgomery,Yan Gomes,Jose Abreu,Jose Ramirez,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Albert Almora,Bradley Zimmer"
348,1063564248,IslandBanker,69.05,,,,,Taijuan Walker,Reynaldo Lopez,Welington Castillo,Ryan Braun,Eduardo Nunez,Matt Davidson,Tim Anderson,"Giancarlo Stanton,Aaron Judge,Nicky Delmonico"
351,1063481978,fallfromgrace,68.9,,,,,Eduardo Rodriguez,Luke Weaver,Evan Gattis,Ryan Braun,Neil Walker,Alex Bregman,Carlos Correa,"George Springer,Josh Reddick,Domingo Santana"
