Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
65,1063637085,chrishoops,0,41.85,P Mike Clevinger P Jordan Montgomery SS Francisco Lindor 1B Edwin Encarnacion 3B José Ramírez OF Brett Gardner 2B Jason Kipnis C Welington Castillo OF Derek Fisher OF Bradley Zimmer,,J.P. Crawford,SS,4.41%,0
66,1063572935,wakeywakey (2/2),0,40.6,P Eduardo Rodríguez P Reynaldo López 2B José Altuve SS Carlos Correa OF George Springer OF Ryan Braun 3B Alex Bregman 1B Jesús Aguilar OF Domingo Santana C Manny Piña,,Ronald Torreyes,SS,4.41%,7
67,1063711675,McGhee24,0,35.6,P Eduardo Rodríguez P Jordan Montgomery OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant SS Carlos Correa OF Ryan Braun 1B Jesús Aguilar 2B Scooter Gennett C Victor Caratini,,Tyler Mahle,P,4.41%,-1.5
68,1063672798,burnie4488,0,0,,,Andrew Benintendi,OF,4.41%,7
,,,,,,,Nick Williams,OF,4.41%,5
,,,,,,,Corey Dickerson,OF,4.41%,14
,,,,,,,Austin Romine,C,4.41%,17
,,,,,,,Rafael Devers,3B,2.94%,13
,,,,,,,Eduardo Núñez,2B,2.94%,9
,,,,,,,Jesús Aguilar,1B,2.94%,2
,,,,,,,José Peraza,SS,2.94%,0
,,,,,,,Scooter Gennett,2B,2.94%,2
,,,,,,,Nicholas Castellanos,OF,2.94%,0
,,,,,,,Miguel Cabrera,1B,2.94%,2
,,,,,,,Tommy Pham,OF,2.94%,2
,,,,,,,Matt Carpenter,1B,2.94%,2
,,,,,,,Yoán Moncada,2B,2.94%,0
,,,,,,,Nicky Delmonico,OF,2.94%,2
,,,,,,,Leury García,OF,2.94%,0
,,,,,,,Daniel Descalso,1B,2.94%,0
,,,,,,,Trey Mancini,1B,2.94%,5
,,,,,,,Taijuan Walker,P,2.94%,14.5
,,,,,,,Gregory Polanco,OF,2.94%,19
,,,,,,,Daniel Robertson,SS,2.94%,19
,,,,,,,Ketel Marte,SS,2.94%,3
,,,,,,,Jeimer Candelario,3B,1.47%,0
,,,,,,,Leonys Martin,OF,1.47%,15
,,,,,,,John Hicks,C,1.47%,0
,,,,,,,Hernán Pérez,OF,1.47%,0
,,,,,,,Tyler Naquin,OF,1.47%,3
,,,,,,,Marcell Ozuna,OF,1.47%,3
,,,,,,,Derek Fisher,OF,1.47%,3
,,,,,,,Christian Villanueva,3B,1.47%,0
,,,,,,,Jonathan Schoop,2B,1.47%,5
,,,,,,,Paul Goldschmidt,1B,1.47%,0
,,,,,,,Jonathan Villar,2B,1.47%,5
,,,,,,,Matt Duffy,3B,1.47%,10
,,,,,,,Kevin Kiermaier,OF,1.47%,12
,,,,,,,Austin Hedges,C,1.47%,2
,,,,,,,Adeiny Hechavarria,SS,1.47%,5
,,,,,,,Hanley Ramirez,1B,1.47%,14
,,,,,,,Yolmer Sánchez,2B,1.47%,0
,,,,,,,A.J. Pollock,OF,1.47%,24
,,,,,,,Jesús Sucre,C,1.47%,2
,,,,,,,Adam Duvall,OF,1.47%,0
,,,,,,,Christian Vázquez,C,1.47%,10
,,,,,,,Niko Goodrum,OF,1.47%,9
