Rank,EntryId,EntryName,EntryPoints,Player,Position,PercentDrafted,PlayerPoints,Pitcher1,Pitcher2,Catcher,FirstBase,SecondBase,ThirdBase,ShortStop,Outfield1,Outfield2,Outfield3,ContestDate,ContestName,ContestId,ContestFee,Winnings
89,1055313241,tastefultides,99.6,Corey Dickerson,OF,1.18,0,Jacob deGrom,Stephen Strasburg,Juan Centeno,Justin Smoak,Neil Walker,Josh Donaldson,Didi Gregorius,Marwin Gonzalez,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
90,1055645049,extoneagles,99,Rougned Odor,2B,0.59,0,Lance McCullers,Michael Fulmer,Yan Gomes,Matt Adams,Jose Altuve,Jose Ramirez,Francisco Lindor,Giancarlo Stanton,Aaron Judge,Rajai Davis,20180331,perfect_game,54847274,333,0
91,1055431348,Moogie,98.55,Eugenio Suarez,3B,0.59,21,James Paxton,CC Sabathia,Evan Gattis,Albert Pujols,Jose Altuve,Josh Donaldson,Trea Turner,Giancarlo Stanton,George Springer,Kole Calhoun,20180331,perfect_game,54847274,333,0
92,1055308759,EmpireMaker2,98.45,Nelson Cruz,OF,0.59,16,Jacob deGrom,Michael Wacha,Evan Gattis,Justin Smoak,Neil Walker,Alex Bregman,Carlos Correa,George Springer,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
93,1055643208,mrgoodseats,98.35,Robinson Cano,2B,0.59,15,Stephen Strasburg,James Paxton,Mike Marjama,Justin Smoak,Jose Altuve,Alex Bregman,Elvis Andrus,George Springer,Dee Gordon,Matt Joyce,20180331,perfect_game,54847274,333,0
94,1055326153,Biesterfield,98.2,Jean Segura,SS,0.59,5,James Paxton,Michael Wacha,Evan Gattis,Matt Adams,Jose Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,George Springer,Steve Pearce,20180331,perfect_game,54847274,333,0
95,1055399107,freddieprincstyl,98,Marco Estrada,P,0.59,9.55,Matt Shoemaker,CC Sabathia,Brian McCann,Justin Smoak,Howie Kendrick,Jose Ramirez,Trea Turner,Giancarlo Stanton,Bryce Harper,Aaron Judge,20180331,perfect_game,54847274,333,0
96,1055511035,BFER14,97.5,Jordy Mercer,SS,0.59,0,Lance McCullers,James Paxton,Gary Sanchez,Matt Olson,Jed Lowrie,J.D. Davis,Carlos Correa,Mike Trout,Kole Calhoun,Matt Joyce,20180331,perfect_game,54847274,333,0
97,1055483258,crump11,97.35,Adam Duvall,OF,0.59,18,Stephen Strasburg,James Paxton,Brian McCann,Matt Olson,Jed Lowrie,J.D. Davis,Didi Gregorius,Mike Trout,Khris Davis,Matt Joyce,20180331,perfect_game,54847274,333,0
98,1055559925,HeHaithMe,97.25,Starling Marte,OF,0.59,0,Jacob deGrom,James Paxton,Evan Gattis,Justin Smoak,Neil Walker,Josh Donaldson,Carlos Correa,Aaron Judge,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,0
99,1055567289,halliam1114,97.2,Josh Harrison,2B,0.59,0,James Paxton,Michael Wacha,Evan Gattis,Matt Olson,Howie Kendrick,Alex Bregman,Zack Cozart,Mike Trout,Justin Upton,Khris Davis,20180331,perfect_game,54847274,333,0
100,1055364860,thepickler,96.55,Francisco Cervelli,C,0.59,0,James Paxton,Luis Castillo,Gary Sanchez,Justin Smoak,Jose Altuve,Josh Donaldson,Didi Gregorius,Giancarlo Stanton,Mike Trout,George Springer,20180331,perfect_game,54847274,333,0
