SG/SF,Torrey Craig,3200,DEN@LAL 03/13/2018 10:30PM ET,10.058,DEN
SF/PF,OG Anunoby,3200,TOR@BKN 03/13/2018 07:30PM ET,12.2,TOR
SG/SF,Norman Powell,3200,TOR@BKN 03/13/2018 07:30PM ET,11.763,TOR
PF/C,Quincy Acy,3200,TOR@BKN 03/13/2018 07:30PM ET,13.276,BKN
C,Jahlil Okafor,3200,TOR@BKN 03/13/2018 07:30PM ET,11.55,BKN
C,Salah Mejri,3200,DAL@NY 03/13/2018 07:30PM ET,12.21,DAL
PF/C,Maxi Kleber,3200,DAL@NY 03/13/2018 07:30PM ET,12.052999999999999,DAL
SG/SF,Justin Anderson,3200,IND@PHI 03/13/2018 07:00PM ET,10.75,PHI
PG,Tim Frazier,3200,MIN@WAS 03/13/2018 07:00PM ET,12.37,WAS
SG/SF,Terrence Ross,3200,ORL@SA 03/13/2018 08:30PM ET,18.705,ORL
SG,Brandon Paul,3200,ORL@SA 03/13/2018 08:30PM ET,6.495,SA
C,Guillermo Hernangomez,3200,CHA@NO 03/13/2018 08:00PM ET,8.279,CHA
SG/SF,Treveon Graham,3200,CHA@NO 03/13/2018 08:00PM ET,9.815,CHA
SG/SF,DeAndre' Bembry,3100,OKC@ATL 03/13/2018 07:30PM ET,11.929,ATL
SG/SF,Wesley Johnson,3100,LAC@CHI 03/13/2018 08:00PM ET,15.339,LAC
SG/SF,John Holland,3100,CLE@PHO 03/13/2018 10:00PM ET,3.977,CLE
SG/SF,Danuel House,3100,CLE@PHO 03/13/2018 10:00PM ET,9.109,PHO
SF/PF,Juancho Hernangomez,3100,DEN@LAL 03/13/2018 10:30PM ET,7.83,DEN
PF,Travis Wear,3100,DEN@LAL 03/13/2018 10:30PM ET,9.7,LAL
C,Ivica Zubac,3100,DEN@LAL 03/13/2018 10:30PM ET,7.028,LAL
PG/SG,Nik Stauskas,3100,TOR@BKN 03/13/2018 07:30PM ET,7.957000000000001,BKN
PG/SG,Joe Young,3100,IND@PHI 03/13/2018 07:00PM ET,7.005,IND
PG/SG,Jerryd Bayless,3100,IND@PHI 03/13/2018 07:00PM ET,14.103,PHI
PG,Derrick Rose,3100,MIN@WAS 03/13/2018 07:00PM ET,14.147,MIN
