"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Malcolm Delaney",3600,"ATL@ORL 12/06/2017 07:00PM ET",12.250,"ATL"
"C","Miles Plumlee",3600,"ATL@ORL 12/06/2017 07:00PM ET",8.688,"ATL"
"PF/C","Guillermo Hernangomez",3600,"MEM@NY 12/06/2017 07:30PM ET",12.339,"NY"
"SG","Damyean Dotson",3600,"MEM@NY 12/06/2017 07:30PM ET",5.867,"NY"
"C","Cody Zeller",3600,"GS@CHA 12/06/2017 08:00PM ET",17.708,"CHA"
"PF/C","David West",3600,"GS@CHA 12/06/2017 08:00PM ET",16.120,"GS"
"SF/PF","Dante Cunningham",3600,"DEN@NO 12/06/2017 08:00PM ET",13.188,"NO"
"PG","Cory Joseph",3500,"CHI@IND 12/06/2017 07:00PM ET",18.281,"IND"
"SG/SF","Paul Zipser",3500,"CHI@IND 12/06/2017 07:00PM ET",10.737,"CHI"
"PG/SG","Iman Shumpert",3500,"SAC@CLE 12/06/2017 07:00PM ET",12.192,"CLE"
"SF/PF","Jonathan Isaac",3500,"ATL@ORL 12/06/2017 07:00PM ET",16.229,"ORL"
"C","Mike Muscala",3500,"ATL@ORL 12/06/2017 07:00PM ET",16.333,"ATL"
"SG/SF","Ben McLemore",3500,"MEM@NY 12/06/2017 07:30PM ET",12.938,"MEM"
"PG/SG","Frank Ntilikina",3500,"MEM@NY 12/06/2017 07:30PM ET",14.163,"NY"
"PG/SG","Andrew Harrison",3500,"MEM@NY 12/06/2017 07:30PM ET",11.309,"MEM"
"SF/PF","Doug McDermott",3500,"MEM@NY 12/06/2017 07:30PM ET",14.348,"NY"
"SG","Jamal Crawford",3500,"MIN@LAC 12/06/2017 10:30PM ET",14.640,"MIN"
"SF/PF","Nemanja Bjelica",3500,"MIN@LAC 12/06/2017 10:30PM ET",13.514,"MIN"
"SG/SF","Shabazz Muhammad",3500,"MIN@LAC 12/06/2017 10:30PM ET",7.250,"MIN"
"PG/SF","DeAndre Liggins",3500,"DET@MIL 12/06/2017 08:00PM ET",7.513,"MIL"
"PG/SG","Bryn Forbes",3500,"MIA@SA 12/06/2017 08:30PM ET",10.196,"SA"
"PG","Dejounte Murray",3500,"MIA@SA 12/06/2017 08:30PM ET",18.010,"SA"
"PF/C","Al Jefferson",3400,"CHI@IND 12/06/2017 07:00PM ET",16.725,"IND"
"PF/C","Skal Labissiere",3400,"SAC@CLE 12/06/2017 07:00PM ET",15.446,"SAC"
"PF/C","Channing Frye",3400,"SAC@CLE 12/06/2017 07:00PM ET",9.693,"CLE"
"SG/SF","Arron Afflalo",3400,"ATL@ORL 12/06/2017 07:00PM ET",5.382,"ORL"
"PF/C","Jarell Martin",3400,"MEM@NY 12/06/2017 07:30PM ET",11.636,"MEM"
"SF/PF","Omri Casspi",3400,"GS@CHA 12/06/2017 08:00PM ET",13.869,"GS"
"SF/PF","Sam Dekker",3400,"MIN@LAC 12/06/2017 10:30PM ET",7.474,"LAC"
"SF/PF","Anthony Tolliver",3400,"DET@MIL 12/06/2017 08:00PM ET",13.450,"DET"
"PG/SG","Jameer Nelson",3400,"DEN@NO 12/06/2017 08:00PM ET",17.455,"NO"
"SG","Brandon Paul",3400,"MIA@SA 12/06/2017 08:30PM ET",8.534,"SA"
"C","Kosta Koufos",3300,"SAC@CLE 12/06/2017 07:00PM ET",15.315,"SAC"
"SG/SF","Justin Jackson",3300,"SAC@CLE 12/06/2017 07:00PM ET",9.618,"SAC"
"PG/SF","Mario Hezonja",3300,"ATL@ORL 12/06/2017 07:00PM ET",6.711,"ORL"
"PF/C","Bismack Biyombo",3300,"ATL@ORL 12/06/2017 07:00PM ET",12.480,"ORL"
"PG","Isaiah Taylor",3300,"ATL@ORL 12/06/2017 07:00PM ET",12.281,"ATL"
"PF","Tyler Cavanaugh",3300,"ATL@ORL 12/06/2017 07:00PM ET",8.643,"ATL"
"PF/C","Brandan Wright",3300,"MEM@NY 12/06/2017 07:30PM ET",13.234,"MEM"
"C","Joakim Noah",3300,"MEM@NY 12/06/2017 07:30PM ET",9.625,"NY"
"SG/SF","Dwayne Bacon",3300,"GS@CHA 12/06/2017 08:00PM ET",10.917,"CHA"
"C","Zaza Pachulia",3300,"GS@CHA 12/06/2017 08:00PM ET",15.073,"GS"
"PF/C","Jordan Bell",3300,"GS@CHA 12/06/2017 08:00PM ET",11.763,"GS"
"SG","Luke Kennard",3300,"DET@MIL 12/06/2017 08:00PM ET",11.444,"DET"
"PF","Maxi Kleber",3200,"DAL@BOS 12/06/2017 07:30PM ET",9.708,"DAL"
"PG","Shane Larkin",3200,"DAL@BOS 12/06/2017 07:30PM ET",5.809,"BOS"
"SG/SF","Semi Ojeleye",3200,"DAL@BOS 12/06/2017 07:30PM ET",6.292,"BOS"
"PF/C","Ante Zizic",3200,"SAC@CLE 12/06/2017 07:00PM ET",3.813,"CLE"
"PG","Shelvin Mack",3200,"ATL@ORL 12/06/2017 07:00PM ET",15.014,"ORL"
"PF/C","Deyonta Davis",3200,"MEM@NY 12/06/2017 07:30PM ET",10.900,"MEM"
"SF/PF","Lance Thomas",3200,"MEM@NY 12/06/2017 07:30PM ET",8.425,"NY"
"SG","Sindarius Thornwell",3200,"MIN@LAC 12/06/2017 10:30PM ET",8.227,"LAC"
"SF/PF","Jamil Wilson",3200,"MIN@LAC 12/06/2017 10:30PM ET",8.688,"LAC"
"PG/SG","Matthew Dellavedova",3200,"DET@MIL 12/06/2017 08:00PM ET",12.962,"MIL"
"SF/PF","Mirza Teletovic",3200,"DET@MIL 12/06/2017 08:00PM ET",13.175,"MIL"
"PG/SG","Ian Clark",3200,"DEN@NO 12/06/2017 08:00PM ET",8.952,"NO"
"C","Salah Mejri",3100,"DAL@BOS 12/06/2017 07:30PM ET",13.579,"DAL"
"PG","Antonio Blakeney",3100,"CHI@IND 12/06/2017 07:00PM ET",10.682,"CHI"
"PF/C","Marreese Speights",3100,"ATL@ORL 12/06/2017 07:00PM ET",13.105,"ORL"
"PG","Ramon Sessions",3100,"MEM@NY 12/06/2017 07:30PM ET",11.400,"NY"
"PG/SG","Langston Galloway",3100,"DET@MIL 12/06/2017 08:00PM ET",10.545,"DET"
"SG/SF","Tony Allen",3100,"DEN@NO 12/06/2017 08:00PM ET",9.288,"NO"
"PF","Nerlens Noel",3000,"DAL@BOS 12/06/2017 07:30PM ET",12.132,"DAL"
"SG","Antonius Cleveland",3000,"DAL@BOS 12/06/2017 07:30PM ET",3.350,"DAL"
"PF/C","Josh McRoberts",3000,"DAL@BOS 12/06/2017 07:30PM ET",0,"DAL"
"C","Jeff Withey",3000,"DAL@BOS 12/06/2017 07:30PM ET",3.781,"DAL"
"PF/C","Johnathan Motley",3000,"DAL@BOS 12/06/2017 07:30PM ET",0,"DAL"
"SF","Dorian Finney-Smith",3000,"DAL@BOS 12/06/2017 07:30PM ET",5.875,"DAL"
"PF","Abdel Nader",3000,"DAL@BOS 12/06/2017 07:30PM ET",3.432,"BOS"
"PF/C","Guerschon Yabusele",3000,"DAL@BOS 12/06/2017 07:30PM ET",4.393,"BOS"
"SG","Kadeem Allen",3000,"DAL@BOS 12/06/2017 07:30PM ET",0,"BOS"
