78,1055362279,ChipotleAddict (5/5),103.35,Yan Gomes,C,1.18,16,P Stephen Strasburg P James Paxton OF Aaron Judge OF George Springer 3B Alex Bregman SS Didi Gregorius C Brian McCann 2B Neil Walker OF Jake Marisnick 1B Tyler Austin
78,1055643205,mrgoodseats (1/5),103.35,Ian Kinsler,2B,1.18,0,P Stephen Strasburg P James Paxton 2B Jose Altuve OF George Springer 3B Alex Bregman SS Elvis Andrus OF Marwin Gonzalez 1B Justin Smoak OF Steve Pearce C Mike Marjama
80,1055521917,monds6 (4/5),103.3,Shin-soo Choo,OF,1.18,2,P Jacob deGrom P Carlos Carrasco OF Khris Davis 1B Matt Olson 3B Matt Chapman SS Marcus Semien C Brian McCann OF Matt Joyce OF Steve Pearce 2B Yangervis Solarte
81,1055270798,dandydon (3/3),102.6,Kyle Seager,3B,1.18,0,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B Jose Altuve OF George Springer 3B Alex Bregman OF Justin Upton SS Marwin Gonzalez C Evan Gattis 1B Luis Valbuena
82,1055333395,Wieties49,102.55,Rajai Davis,OF,1.18,4,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Mike Trout 2B Jose Altuve SS Carlos Correa C Gary Sanchez 3B Alex Bregman 1B Justin Smoak OF Matt Joyce
83,1055471453,brpunkrmax,102.05,Stephen Piscotty,OF,1.18,7,P Lance McCullers Jr. P Luis Castillo OF Giancarlo Stanton 2B Jose Altuve OF George Springer SS Carlos Correa C Gary Sanchez 3B Alex Bregman 1B Luis Valbuena OF Billy McKinney
84,1055624618,anilprao88 (5/5),100.8,Matt Chapman,3B,1.18,12,P Jacob deGrom P Luis Castillo OF Giancarlo Stanton OF Aaron Judge OF George Springer SS Marwin Gonzalez C Evan Gattis 2B Neil Walker 3B J.D. Davis 1B Tyler Austin
85,1055362277,ChipotleAddict (3/5),100.55,Adam Frazier,2B,1.18,0,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Aaron Judge 2B Jose Altuve OF George Springer SS Carlos Correa C Gary Sanchez 3B J.D. Davis 1B Tyler Austin
86,1055608561,Moogie (2/2),99.85,Dexter Fowler,OF,1.18,0,P Stephen Strasburg P Trevor Williams OF Bryce Harper 2B Jose Altuve OF George Springer 3B Alex Bregman OF Jay Bruce SS Marwin Gonzalez C Matt Wieters 1B Matt Adams
87,1055389661,moklovin (3/3),99.8,Rene Rivera,C,1.18,12,P Jacob deGrom P Luis Castillo OF Mike Trout C Gary Sanchez OF Justin Upton 2B Ian Kinsler 1B Joey Gallo SS Elvis Andrus 3B Adrian Beltre OF Shin-soo Choo
87,1055521914,monds6 (1/5),99.8,Nicholas Castellanos,OF,1.18,0,P Jacob deGrom P Luis Castillo 2B Jose Altuve OF George Springer OF Khris Davis 1B Matt Olson OF Marwin Gonzalez C Evan Gattis SS Aledmys Diaz 3B J.D. Davis
89,1055313241,tastefultides (4/5),99.6,Corey Dickerson,OF,1.18,0,P Jacob deGrom P Stephen Strasburg 3B Josh Donaldson OF Marwin Gonzalez SS Didi Gregorius 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce C Juan Centeno
90,1055645049,extoneagles (1/5),99,Rougned Odor,2B,0.59,0,P Lance McCullers Jr. P Michael Fulmer OF Giancarlo Stanton OF Aaron Judge 2B Jose Altuve SS Francisco Lindor 3B Jose Ramirez 1B Matt Adams C Yan Gomes OF Rajai Davis
91,1055431348,Moogie (1/2),98.55,Eugenio Suarez,3B,0.59,21,P James Paxton P CC Sabathia OF Giancarlo Stanton SS Trea Turner 2B Jose Altuve OF George Springer 3B Josh Donaldson OF Kole Calhoun C Evan Gattis 1B Albert Pujols
92,1055308759,EmpireMaker2,98.45,Nelson Cruz,OF,0.59,16,P Jacob deGrom P Michael Wacha OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce
93,1055643208,mrgoodseats (4/5),98.35,Robinson Cano,2B,0.59,15,P Stephen Strasburg P James Paxton 2B Jose Altuve OF George Springer 3B Alex Bregman SS Elvis Andrus 1B Justin Smoak OF Dee Gordon OF Matt Joyce C Mike Marjama
94,1055326153,Biesterfield,98.2,Jean Segura,SS,0.59,5,P James Paxton P Michael Wacha OF Giancarlo Stanton 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis OF Steve Pearce 1B Matt Adams
95,1055399107,freddieprincstyl,98,Marco Estrada,P,0.59,9.55,P Matt Shoemaker P CC Sabathia OF Giancarlo Stanton OF Bryce Harper OF Aaron Judge SS Trea Turner 3B Jose Ramirez 2B Howie Kendrick 1B Justin Smoak C Brian McCann
96,1055511035,BFER14 (1/2),97.5,Jordy Mercer,SS,0.59,0,P Lance McCullers Jr. P James Paxton OF Mike Trout SS Carlos Correa C Gary Sanchez 1B Matt Olson OF Kole Calhoun 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis
97,1055483258,crump11 (3/3),97.35,Adam Duvall,OF,0.59,18,P Stephen Strasburg P James Paxton OF Mike Trout OF Khris Davis 1B Matt Olson SS Didi Gregorius C Brian McCann 2B Jed Lowrie OF Matt Joyce 3B J.D. Davis
98,1055559925,HeHaithMe,97.25,Starling Marte,OF,0.59,0,P Jacob deGrom P James Paxton OF Aaron Judge SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk OF Steve Pearce
99,1055567289,halliam1114,97.2,Josh Harrison,2B,0.59,0,P James Paxton P Michael Wacha OF Mike Trout 3B Alex Bregman OF Justin Upton OF Khris Davis 1B Matt Olson SS Zack Cozart C Evan Gattis 2B Howie Kendrick
100,1055364860,thepickler (2/5),96.55,Francisco Cervelli,C,0.59,0,P James Paxton P Luis Castillo OF Giancarlo Stanton OF Mike Trout 2B Jose Altuve OF George Springer C Gary Sanchez 3B Josh Donaldson SS Didi Gregorius 1B Justin Smoak
