Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
53,1090136690,Bianchibear03,0,88.1,P Patrick Corbin P Joey Lucchesi 3B Josh Donaldson OF Mark Trumbo OF Adam Jones OF Trey Mancini 1B Justin Smoak 2B Jonathan Schoop C Russell Martin SS Lourdes Gurriel Jr.,,Wilson Ramos,C,4.72%,7
54,1090585029,BrandonAdams (3/3),0,87.9,P Patrick Corbin P Nick Pivetta SS Manny Machado 3B Mike Moustakas OF Mark Trumbo OF Adam Jones 1B Trey Mancini 2B Jonathan Schoop C Russell Martin OF Jon Jay,,Anthony Rendon,3B,4.72%,17
55,1089959074,dacoltz,0,87.5,P Patrick Corbin P Alex Wood SS Jean Segura OF Mark Trumbo C Buster Posey OF Adam Jones OF Trey Mancini 1B Justin Smoak 2B Jonathan Schoop 3B Danny Valencia,,Jon Jay,OF,4.72%,3
56,1090601478,tmurderer420,0,87.15,P Julio Teheran P Joey Lucchesi 2B Ozzie Albies SS Manny Machado 3B Josh Donaldson OF Nelson Cruz OF Odúbel Herrera 1B Mark Trumbo OF Adam Jones C Mike Zunino,,Evan Longoria,3B,4.72%,12
57,1090183213,andyv718,0,86.9,P Chris Stratton OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts OF Andrew Benintendi 1B Mitch Moreland 3B Yangervis Solarte 2B Alen Hanson C Tyler Flowers P Rick Porcello,,Mookie Betts,OF,4.72%,2
58,1090354936,ehafner (2/2),0,86.5,P Patrick Corbin P Alex Wood 3B Mike Moustakas OF Jorge Soler OF Andrew McCutchen C Buster Posey 1B Lucas Duda OF Alex Gordon SS Brandon Crawford 2B Alen Hanson,,Kevin Pillar,OF,4.72%,8
59,1090455671,mrgoodseats (2/3),0,86.45,P Masahiro Tanaka P Alex Wood OF Aaron Judge SS Manny Machado OF Giancarlo Stanton OF Nelson Cruz 3B Mike Moustakas C Salvador Perez 2B Jonathan Schoop 1B Brad Miller,,A.J. Pollock,OF,4.72%,7
60,1090354935,ehafner (1/2),0,85.5,P Patrick Corbin P Alex Wood 1B Brandon Belt 2B César Hernández 3B Maikel Franco OF Andrew McCutchen C Buster Posey OF Aaron Altherr SS Alen Hanson OF Nick Williams,,Denard Span,OF,3.77%,5
61,1089953245,shawnzhan (2/3),0,85.45,P Masahiro Tanaka P Alex Wood SS Manny Machado OF Giancarlo Stanton 2B Whit Merrifield 3B Mike Moustakas OF Jorge Soler OF Andrew McCutchen C Salvador Perez 1B Lucas Duda,,Freddie Freeman,1B,3.77%,2
62,1090493274,ryanmax (1/2),0,84.95,P Nick Pivetta P Chris Stratton OF Mookie Betts OF A.J. Pollock OF J.D. Martinez SS Manny Machado 1B Paul Goldschmidt 2B Whit Merrifield 3B Mike Moustakas C Salvador Perez,,Alex Gordon,OF,3.77%,9
63,1089989030,pup0082 (1/2),0,84.8,P Gio Gonzalez P Julio Teheran 2B Whit Merrifield OF Nelson Cruz OF Odúbel Herrera 1B Ryon Healy OF Adam Jones 3B José Bautista C Mike Zunino SS Alen Hanson,,Brandon Crawford,SS,2.83%,8
64,1090037507,youdacao (3/3),0,84.45,P Masahiro Tanaka P Alex Wood OF Giancarlo Stanton SS Trea Turner 1B Cody Bellinger 3B Anthony Rendon OF Chris Taylor C Yasmani Grandal OF Matt Kemp 2B Austin Barnes,,Johan Camargo,SS,2.83%,0
64,1090573108,EmpireMaker2 (2/2),0,84.45,P Masahiro Tanaka P Alex Wood 2B Ozzie Albies 3B Josh Donaldson OF Ronald Acuña Jr. OF Mitch Haniger 1B Brandon Belt OF Teoscar Hernández C Buster Posey SS Alen Hanson,,Yangervis Solarte,3B,2.83%,10
66,1090524982,DraftCheat (3/3),0,83.9,P Julio Teheran SS Trea Turner 3B Mike Moustakas OF Jorge Soler C Salvador Perez OF Michael A. Taylor 1B Lucas Duda OF Alex Gordon 2B Alen Hanson P Rick Porcello,,Kyle Seager,3B,2.83%,4
67,1090180195,Wheater23,0,82.5,P Alex Wood P Joey Lucchesi OF Mookie Betts 2B Ozzie Albies SS Manny Machado 3B Mike Moustakas OF Teoscar Hernández OF Kevin Pillar C Salvador Perez 1B Trey Mancini,,Lourdes Gurriel Jr.,2B,2.83%,0
68,1090493275,ryanmax (2/2),0,82.25,P Alex Wood SS Manny Machado 3B Josh Donaldson OF Nelson Cruz OF Teoscar Hernández OF Trey Mancini 1B Justin Smoak 2B Jonathan Schoop C Russell Martin P Rick Porcello,,Ryan Yarbrough,P,2.83%,11.05
69,1090548034,cohenspicks,0,81.15,P Gio Gonzalez P Alex Wood SS Manny Machado OF Nelson Cruz 3B Mike Moustakas OF Jorge Soler 2B Robinson Canó C Salvador Perez 1B Lucas Duda OF Jon Jay,,Mallex Smith,OF,1.89%,5
70,1090603926,bric75 (3/3),0,80.5,P Patrick Corbin P Alex Wood SS Manny Machado 3B Mike Moustakas C Salvador Perez OF Adam Jones OF Trey Mancini 1B Lucas Duda 2B Alen Hanson OF Jon Jay,,Joey Wendle,2B,1.89%,0
71,1089995612,bigern33,0,80.15,P Gio Gonzalez P Alex Wood SS Manny Machado 3B Josh Donaldson OF Mark Trumbo C Buster Posey OF Adam Jones OF Trey Mancini 1B Justin Smoak 2B Alen Hanson,,Brad Miller,1B,1.89%,0
72,1090365463,mazwa (1/3),0,79.45,P Masahiro Tanaka P Alex Wood 3B Josh Donaldson C Gary Sánchez OF Mitch Haniger OF Dee Gordon OF Nelson Cruz SS Jean Segura 2B Robinson Canó 1B Justin Smoak,,Howie Kendrick,2B,1.89%,3
73,1090582551,getoffme2312,0,79.2,P Julio Teheran P Chris Stratton OF A.J. Pollock SS Manny Machado OF Ronald Acuña Jr. C Gary Sánchez OF Nelson Cruz 3B Mike Moustakas 1B Trey Mancini 2B Jonathan Schoop,,Moisés Sierra,OF,1.89%,0
74,1090088102,ShortMyOwnTeam (1/2),0,79.15,P Gio Gonzalez P Alex Wood SS Manny Machado OF Mitch Haniger OF Nelson Cruz 1B Ryon Healy OF Mark Trumbo 2B Jonathan Schoop C Mike Zunino 3B Danny Valencia,,Cody Bellinger,1B,1.89%,0
74,1090092991,ShortMyOwnTeam (2/2),0,79.15,P Gio Gonzalez P Alex Wood SS Manny Machado OF Mitch Haniger OF Nelson Cruz 1B Ryon Healy OF Mark Trumbo 2B Jonathan Schoop C Mike Zunino 3B Danny Valencia,,Chris Taylor,OF,1.89%,18
76,1090003228,Awesemo (2/3),0,77.55,P Julio Teheran P Alex Wood 1B Freddie Freeman 2B Ozzie Albies OF Ronald Acuña Jr. 3B Mike Moustakas OF Teoscar Hernández OF Trey Mancini SS Johan Camargo C Tyler Flowers,,Yasmani Grandal,C,1.89%,7
77,1090524730,EmpireMaker2 (1/2),0,77.45,P Masahiro Tanaka P Alex Wood SS Manny Machado OF Giancarlo Stanton 3B Josh Donaldson OF Nelson Cruz 1B Brandon Belt OF Teoscar Hernández C Buster Posey 2B Alen Hanson,,Matt Kemp,OF,1.89%,2
78,1090003229,Awesemo (3/3),0,77.15,P Gio Gonzalez P Alex Wood OF Nelson Cruz 3B Mike Moustakas SS Jean Segura OF Denard Span C Wilson Ramos OF Mallex Smith 1B C.J. Cron 2B Joey Wendle,,Nick Williams,OF,1.89%,4
79,1090399238,bh9999 (2/3),0,76.85001,P Ryan Yarbrough OF Mookie Betts OF J.D. Martinez SS Manny Machado 3B Josh Donaldson OF Andrew Benintendi 1B Hanley Ramirez 2B Alen Hanson C Caleb Joseph P Rick Porcello,,Pablo Sandoval,3B,1.89%,5
80,1089972176,jamesreidjr,0,75.25,P Alex Wood SS Manny Machado 3B Josh Donaldson OF Nelson Cruz OF Teoscar Hernández 1B Justin Smoak 2B Jonathan Schoop OF Michael A. Taylor C Mike Zunino P Rick Porcello,,Andrew Knapp,C,1.89%,11
81,1090099919,bw5126 (3/3),0,75.15,P Gio Gonzalez P Alex Wood SS Manny Machado 1B Brandon Belt 3B Evan Longoria OF Andrew McCutchen C Buster Posey OF Adam Jones OF Trey Mancini 2B Alen Hanson,,Eric Skoglund,P,1.89%,10.65
82,1090370812,papagates (1/3),0,74.15,P Gio Gonzalez P Alex Wood SS Trea Turner OF Ronald Acuña Jr. 3B Evan Longoria OF Andrew McCutchen C Buster Posey 1B Ryan Zimmerman OF Michael A. Taylor 2B Alen Hanson,,Matt Wieters,C,1.89%,5
83,1090593128,Williamsj18,0,72.15,P Gio Gonzalez P Alex Wood SS Manny Machado OF Nelson Cruz 1B Brandon Belt OF Mark Trumbo C Buster Posey OF Trey Mancini 2B Jonathan Schoop 3B Danny Valencia,,Caleb Joseph,C,1.89%,3
84,1090068813,scout326 (1/3),0,71.5,P Patrick Corbin P Alex Wood SS Trea Turner OF Andrew McCutchen 3B Anthony Rendon C Buster Posey 1B Ryan Zimmerman OF Michael A. Taylor 2B Alen Hanson OF Moisés Sierra,,Andrew Benintendi,OF,1.89%,20
85,1090400738,ragingphilip,0,71.45,P Masahiro Tanaka P Alex Wood 2B Ozzie Albies OF Giancarlo Stanton SS Trea Turner OF Dee Gordon 3B Anthony Rendon 1B Ryan Zimmerman OF Michael A. Taylor C Matt Wieters,,Neil Walker,2B,1.89%,7
86,1090112706,IamPGM (2/3),0,71.05,P Masahiro Tanaka P Joey Lucchesi SS Manny Machado OF Giancarlo Stanton 3B Josh Donaldson OF Mitch Haniger OF Nelson Cruz 1B Brandon Belt 2B Robinson Canó C Mike Zunino,,Paul Goldschmidt,1B,1.89%,7
87,1090153601,Ebonwraith,0,68.5,P Patrick Corbin P Alex Wood 3B Josh Donaldson OF Nelson Cruz OF Andrew McCutchen 2B Robinson Canó 1B Justin Smoak C Russell Martin SS Alen Hanson OF Jon Jay,,Carlos Gómez,OF,0.94%,0
88,1090370813,papagates (2/3),0,67.7,P Gio Gonzalez P Masahiro Tanaka SS Trea Turner OF Mitch Haniger OF Dee Gordon 1B Ryan Zimmerman 3B Kyle Seager OF Michael A. Taylor C Mike Zunino 2B Alen Hanson,,C.J. Cron,1B,0.94%,8
89,1090099906,bw5126 (2/3),0,63.45,P Masahiro Tanaka P Alex Wood OF Giancarlo Stanton C Gary Sánchez SS Didi Gregorius OF Mitch Haniger OF Nelson Cruz 1B Ryon Healy 2B Robinson Canó 3B Kyle Seager,,Austin Barnes,2B,0.94%,9
90,1090521822,ubrcuilnsa,0,63.25,P Alex Wood SS Manny Machado OF Nelson Cruz 3B Mike Moustakas OF Jorge Soler C Salvador Perez OF Adam Jones 1B Justin Smoak 2B Jonathan Schoop P Rick Porcello,,Aaron Hicks,OF,0.94%,9
91,1090348147,tinderella,0,62.5,P Patrick Corbin P Alex Wood 3B Mike Moustakas 1B Brandon Belt OF Andrew McCutchen C Buster Posey OF Adam Jones OF Michael A. Taylor SS Brandon Crawford 2B Alen Hanson,,Rafael Devers,3B,0.94%,6
92,1090456750,Acekilla7676,0,62.15,P Patrick Corbin P Chris Stratton 2B Ozzie Albies OF J.D. Martinez OF Nelson Cruz 1B Brandon Belt OF Denard Span SS Alen Hanson 3B Pablo Sandoval C Tyler Flowers,,Ketel Marte,2B,0.94%,6
93,1090037505,youdacao (1/3),0,61.45,P Masahiro Tanaka P Alex Wood OF Mitch Haniger OF Dee Gordon OF Nelson Cruz 3B Mike Moustakas SS Jean Segura 1B Brandon Belt C Buster Posey 2B Robinson Canó,,Nick Markakis,OF,0.94%,23
94,1090523538,DraftCheat (2/3),0,59.55,P Julio Teheran P Alex Wood 1B Freddie Freeman 2B Ozzie Albies SS Trea Turner OF Ronald Acuña Jr. OF Dee Gordon OF Michael A. Taylor 3B José Bautista C Tyler Flowers,,Matt Szczur,OF,0.94%,9
95,1090504380,Tommyg1979,0,58.9,P Chris Stratton OF J.D. Martinez SS Manny Machado 2B Whit Merrifield 3B Mike Moustakas OF Jorge Soler 1B Ryon Healy C Salvador Perez OF Alex Gordon P Rick Porcello,,Xander Bogaerts,SS,0.94%,15
96,1090037506,youdacao (2/3),0,58.45,P Masahiro Tanaka P Alex Wood SS Manny Machado OF Nelson Cruz 3B Mike Moustakas OF Jorge Soler C Salvador Perez OF Adam Jones 1B Trey Mancini 2B Jonathan Schoop,,Mitch Moreland,1B,0.94%,18
96,1090485396,JDUB1010,0,58.45,P Masahiro Tanaka P Alex Wood OF Giancarlo Stanton 3B Josh Donaldson SS Trea Turner OF Dee Gordon 1B Brandon Belt 2B Robinson Canó C Salvador Perez OF Adam Jones,,Hanley Ramirez,1B,0.94%,16
98,1089953244,shawnzhan (1/3),0,56.65,P Nick Pivetta OF J.D. Martinez 3B Josh Donaldson SS Trea Turner C Wilson Ramos OF Carlos Gómez OF Mallex Smith 2B Joey Wendle 1B Brad Miller P Rick Porcello,,Yasiel Puig,OF,0.94%,13
99,1090448003,wakeywakey (2/3),0,56.25,P Alex Wood OF Ronald Acuña Jr. OF Mitch Haniger 3B Christian Villanueva OF Nelson Cruz SS Jean Segura 1B Ryon Healy C Mike Zunino 2B Alen Hanson P Rick Porcello,,Chris Owings,OF,0.94%,0
