Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
43,1055311369,ejs39861,0,119.55,P James Paxton P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Justin Upton C Evan Gattis 1B Albert Pujols,Matt Shoemaker,P,4.71,13.95,333,0
44,1055510369,davewiff (4/4),0,118.25,P Jacob deGrom P James Paxton OF George Springer SS Carlos Correa 3B Josh Donaldson C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte,Howie Kendrick,2B,4.71,8.0,333,0
45,1055310251,wakeywakey (2/3),0,118.05,P Carlos Carrasco P James Paxton OF Bryce Harper SS Trea Turner 3B Anthony Rendon OF Adam Eaton C Evan Gattis 2B Neil Walker OF Steve Pearce 1B Matt Adams,Kevin Pillar,OF,4.71,24.0,333,0
46,1055452781,theOGking_tay,0,117.9,P Stephen Strasburg P Luis Castillo OF Aaron Judge 2B José Altuve C Gary Sánchez 1B Matt Olson 3B Josh Donaldson SS Marwin González OF Jake Marisnick OF Kevin Pillar,Jake Marisnick,OF,4.71,18.0,333,0
47,1055609293,DraftCheat (1/2),0,117.8,P Stephen Strasburg P Matt Shoemaker 2B José Altuve OF George Springer 3B Alex Bregman SS Marwin González 1B Justin Smoak OF José Martínez C Brian McCann OF Steve Pearce,Brandon Drury,3B,4.12,4.0,333,0
47,1055648630,no1cdib,0,117.8,P Stephen Strasburg P Daniel Mengden 2B José Altuve OF George Springer SS Carlos Correa OF Khris Davis 1B Matt Olson C Evan Gattis 3B J.D. Davis OF Billy McKinney,Jay Bruce,OF,3.53,2.0,333,0
49,1055602537,Dinkpiece,0,116.5,P Lance McCullers Jr. P James Paxton 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce,Todd Frazier,3B,3.53,13.0,333,0
50,1055363733,bcassidy13,0,115.6,P Carlos Carrasco P Luis Castillo OF Mike Trout 2B José Altuve OF George Springer 3B Alex Bregman OF Justin Upton SS Didi Gregorius 1B Justin Smoak C Travis d'Arnaud,Albert Pujols,1B,3.53,12.0,333,0
51,1055367397,youdacao (3/5),0,115.25,P Jacob deGrom P James Paxton OF Mike Trout 2B José Altuve 3B Alex Bregman C Evan Gattis 1B Justin Smoak OF Randal Grichuk OF Steve Pearce SS Yangervis Solarte,Trea Turner,SS,3.53,21.0,333,0
51,1055645107,PetrGibbons,0,115.25,P Jacob deGrom P James Paxton OF Mike Trout OF George Springer 3B Josh Donaldson C Evan Gattis 1B Justin Smoak 2B Neil Walker OF Randal Grichuk SS Yangervis Solarte,Adam Eaton,OF,3.53,40.0,333,0
