"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Gerald Green",3600,"LAC@HOU 03/15/2018 08:00PM ET",18.688,"HOU"
"SF/PF","Darius Miller",3600,"NO@SA 03/15/2018 08:30PM ET",14.075,"NO"
"PF","Jared Dudley",3500,"PHO@UTA 03/15/2018 09:00PM ET",9.178,"PHO"
"SG/SF","Davon Reed",3500,"PHO@UTA 03/15/2018 09:00PM ET",6.75,"PHO"
"C","Ante Zizic",3500,"CLE@POR 03/15/2018 10:00PM ET",6.4,"CLE"
"SG/SF","Cedi Osman",3500,"CLE@POR 03/15/2018 10:00PM ET",7.966,"CLE"
"PF/C","Zach Collins",3500,"CLE@POR 03/15/2018 10:00PM ET",11.363,"POR"
"SG/SF","Marco Belinelli",3500,"PHI@NY 03/15/2018 07:30PM ET",18.363,"PHI"
"SG/SF","Myke Henry",3500,"CHI@MEM 03/15/2018 08:00PM ET",12.583,"MEM"
"SG","Sindarius Thornwell",3500,"LAC@HOU 03/15/2018 08:00PM ET",8.764,"LAC"
"SF/PF","P.J. Tucker",3500,"LAC@HOU 03/15/2018 08:00PM ET",16.91,"HOU"
"PF/C","Joffrey Lauvergne",3500,"NO@SA 03/15/2018 08:30PM ET",10.261,"SA"
"PG/SG","Ian Clark",3500,"NO@SA 03/15/2018 08:30PM ET",11.75,"NO"
"C","Cody Zeller",3400,"CHA@ATL 03/15/2018 07:30PM ET",16.871,"CHA"
"PG/SG","Malcolm Delaney",3400,"CHA@ATL 03/15/2018 07:30PM ET",14.435,"ATL"
"SF/PF","Jonas Jerebko",3400,"PHO@UTA 03/15/2018 09:00PM ET",12.496,"UTA"
"PF/C","Trevor Booker",3400,"TOR@IND 03/15/2018 07:00PM ET",15.45,"IND"
"SG/SF","John Holland",3400,"CLE@POR 03/15/2018 10:00PM ET",4.938,"CLE"
"SF/PF","Maurice Harkless",3400,"CLE@POR 03/15/2018 10:00PM ET",13.005,"POR"
"SG/SF","Courtney Lee",3400,"PHI@NY 03/15/2018 07:30PM ET",22.83,"NY"
"PF/C","Ivan Rabb",3400,"CHI@MEM 03/15/2018 08:00PM ET",10.558,"MEM"
"PF/C","Cristiano Felicio",3400,"CHI@MEM 03/15/2018 08:00PM ET",9.823,"CHI"
"C","Robin Lopez",3400,"CHI@MEM 03/15/2018 08:00PM ET",22.175,"CHI"
"SG/SF","Joe Johnson",3400,"LAC@HOU 03/15/2018 08:00PM ET",14.049,"HOU"
"PF/C","Eric Moreland",3400,"DET@DEN 03/15/2018 09:00PM ET",10.282,"DET"
"PG","Derrick White",3400,"NO@SA 03/15/2018 08:30PM ET",7.667,"SA"
"PG/SG","Bryn Forbes",3400,"NO@SA 03/15/2018 08:30PM ET",11.97,"SA"
"SG","Jaylen Morris",3300,"CHA@ATL 03/15/2018 07:30PM ET",10.417,"ATL"
"PG/SG","Markelle Fultz",3300,"PHI@NY 03/15/2018 07:30PM ET",12.188,"PHI"
"PF/C","Luke Kornet",3300,"PHI@NY 03/15/2018 07:30PM ET",11.219,"NY"
"PG","Jarrett Jack",3300,"PHI@NY 03/15/2018 07:30PM ET",21.013,"NY"
"SF/PF","Troy Williams",3300,"PHI@NY 03/15/2018 07:30PM ET",11.827,"NY"
"SF/PF","Chandler Parsons",3300,"CHI@MEM 03/15/2018 08:00PM ET",16.089,"MEM"
"C","Boban Marjanovic",3300,"LAC@HOU 03/15/2018 08:00PM ET",11.47,"LAC"
"PG","Dwight Buycks",3300,"DET@DEN 03/15/2018 09:00PM ET",14.135,"DET"
"PG/SG","Devin Harris",3300,"DET@DEN 03/15/2018 09:00PM ET",15.026,"DEN"
"SG/SF","Damion Lee",3200,"CHA@ATL 03/15/2018 07:30PM ET",23.5,"ATL"
"SG/SF","Treveon Graham",3200,"CHA@ATL 03/15/2018 07:30PM ET",9.786,"CHA"
"C","Miles Plumlee",3200,"CHA@ATL 03/15/2018 07:30PM ET",11.989,"ATL"
"PG","Josh Magette",3200,"CHA@ATL 03/15/2018 07:30PM ET",8,"ATL"
"SF","Royce O'Neale",3200,"PHO@UTA 03/15/2018 09:00PM ET",12.255,"UTA"
"SF/PF","OG Anunoby",3200,"TOR@IND 03/15/2018 07:00PM ET",12.2,"TOR"
"SG/SF","Glenn Robinson III",3200,"TOR@IND 03/15/2018 07:00PM ET",7.65,"IND"
"PG","Jose Calderon",3200,"CLE@POR 03/15/2018 10:00PM ET",9.328,"CLE"
"SG/SF","Justin Anderson",3200,"PHI@NY 03/15/2018 07:30PM ET",10.75,"PHI"
"PF/C","Amir Johnson",3200,"PHI@NY 03/15/2018 07:30PM ET",14.033,"PHI"
"PG","Jawun Evans",3200,"LAC@HOU 03/15/2018 08:00PM ET",13.079,"LAC"
"C","Nene Hilario",3200,"LAC@HOU 03/15/2018 08:00PM ET",13.451,"HOU"
"PF","Brandan Wright",3200,"LAC@HOU 03/15/2018 08:00PM ET",12.545,"HOU"
"SF/PF","Luc Richard Mbah a Moute",3200,"LAC@HOU 03/15/2018 08:00PM ET",15.975,"HOU"
"PG/SG","Malik Beasley",3200,"DET@DEN 03/15/2018 09:00PM ET",6.699,"DEN"
"SG/SF","Torrey Craig",3200,"DET@DEN 03/15/2018 09:00PM ET",10.058,"DEN"
"SF/PF","Darrell Arthur",3200,"DET@DEN 03/15/2018 09:00PM ET",6.203,"DEN"
"SG","Brandon Paul",3200,"NO@SA 03/15/2018 08:30PM ET",6.397,"SA"
"SF","Andrew White III",3100,"CHA@ATL 03/15/2018 07:30PM ET",10.333,"ATL"
"SG/SF","DeAndre' Bembry",3100,"CHA@ATL 03/15/2018 07:30PM ET",11.929,"ATL"
"C","Guillermo Hernangomez",3100,"CHA@ATL 03/15/2018 07:30PM ET",8.279,"CHA"
"PG/SG","Joe Young",3100,"TOR@IND 03/15/2018 07:00PM ET",7.005,"IND"
"SG/SF","Norman Powell",3100,"TOR@IND 03/15/2018 07:00PM ET",11.724,"TOR"
"PG/SG","Jerryd Bayless",3100,"PHI@NY 03/15/2018 07:30PM ET",14.103,"PHI"
"PG","Antonio Blakeney",3100,"CHI@MEM 03/15/2018 08:00PM ET",11.267,"CHI"
"SG/SF","Wesley Johnson",3100,"LAC@HOU 03/15/2018 08:00PM ET",15.083,"LAC"
"PF/C","Tarik Black",3100,"LAC@HOU 03/15/2018 08:00PM ET",9.405,"HOU"
"SF/PF","Juancho Hernangomez",3100,"DET@DEN 03/15/2018 09:00PM ET",7.83,"DEN"
"SF/PF","Anthony Tolliver",3100,"DET@DEN 03/15/2018 09:00PM ET",14.508,"DET"
"PG/SG","Julyan Stone",3000,"CHA@ATL 03/15/2018 07:30PM ET",3.571,"CHA"
"PF/C","Mangok Mathiang",3000,"CHA@ATL 03/15/2018 07:30PM ET",2.5,"CHA"
"PG","Marcus Paige",3000,"CHA@ATL 03/15/2018 07:30PM ET",2.5,"CHA"
